Afu1g00980,Afu1g01010
Afu1g10270,Afu1g10380
Afu1g17200,Afu1g17240
Afu1g17710,Afu1g17740
Afu2g01280,Afu2g01330
Afu2g05740,Afu2g05830
Afu2g17480,Afu2g17600
Afu2g17960,Afu2g18060
Afu3g01400,Afu3g01480
Afu3g02520,Afu3g02650
Afu3g02670,Afu3g02720
Afu3g03300,Afu3g03460
Afu3g12890,Afu3g12960
Afu3g13750,Afu3g13670
Afu3g14730,Afu3g14690
Afu3g15240,Afu3g15290
Afu4g00200,Afu4g00260
Afu4g14450,Afu4g14610
Afu5g00100,Afu5g00135
Afu5g10040,Afu5g10130
Afu5g12730,Afu5g12770
Afu6g03430,Afu6g03490
Afu6g08550,Afu6g08560
Afu6g09630,Afu6g09740
Afu6g12040,Afu6g12080
Afu6g13920,Afu6g14000
Afu7g00120,Afu7g00190
Afu7g00260,Afu7g00270
Afu8g00170,Afu8g00260
Afu8g00342,Afu8g00570
Afu8g01630,Afu8g01640
Afu8g02430,Afu8g02350
