#SRAPROJECT	SRARUN	SRASAMPLE	STRAIN	LIBRARY_TYPE	GEOLOCATION
SRP008192	SRR343134	SRS260913	B5852	SINGLE	
SRP008192	SRR343135	SRS260914	B5854	SINGLE	
SRP008192	SRR343136	SRS260915	B5856	SINGLE	
SRP008192	SRR343137	SRS260916	B5859	SINGLE
SRP008192	SRR343138	SRS260917	B5863	SINGLE
SRP008192	SRR343139	SRS260918	B5866	SINGLE
SRP008192	SRR343140	SRS260919	B5868	SINGLE
SRP008192	SRR343141	SRS260920	B6069	SINGLE
SRP008192	SRR343142	SRS260921	B6074	SINGLE
SRP008192	SRR343143	SRS260922	B6078	SINGLE
SRP008192	SRR343145	SRS260924	B6079	SINGLE
SRP008192	SRR343146	SRS260925	B6081	SINGLE
SRP008192	SRR343149	SRS260927	F11628	SINGLE
SRP008192	SRR343150	SRS260928	F12865	SINGLE
SRP008192	SRR343152	SRS260929	F15767	SINGLE
SRP008192	SRR617720	SRS375791	AF41	PAIRED
SRP008192	SRR617721	SRS375792	AF72	PAIRED
SRP008192	SRR617722	SRS375793	AF90	PAIRED
SRP008192	SRR617723	SRS375794	F12041	PAIRED
SRP008192	SRR617724	SRS375795	F12219	PAIRED
SRP008192	SRR617725	SRS375796	F12636	PAIRED
SRP008192	SRR617726	SRS375797	F13535	PAIRED
SRP008192	SRR617727	SRS375798	F13619	PAIRED
SRP008192	SRR617728	SRS375799	F13952	PAIRED
SRP008192	SRR617729	SRS375800	F14403	PAIRED
SRP008192	SRR617730	SRS375801	F14513G	PAIRED
SRP008192	SRR617731	SRS375802	F14532	PAIRED
SRP008192	SRR617732	SRS375803	F14946G	PAIRED
SRP008192	SRR617733	SRS375804	F15390	PAIRED
SRP008192	SRR617734	SRS375805	F15927	PAIRED
SRP008192	SRR617735	SRS375806	F16134	PAIRED
SRP008192	SRR617736	SRS375807	F16216	PAIRED
SRP008192	SRR617737	SRS375808	F16311	PAIRED
SRP008192	SRR617738	SRS375809	F17582	PAIRED
SRP008192	SRR617739	SRS375810	F17729	PAIRED
SRP008192	SRR617740	SRS375811	F17729W	PAIRED
SRP008192	SRR617741	SRS375812	F5211G	PAIRED
SRP008192	SRR617742	SRS375813	F18085	PAIRED
