#STRAIN	BASECT	READCT	AVG_COVERAGE
08-12-12-13	29091645	3381745113	116.24
08-19-02-10	29091645	4932186699	169.54
08-19-02-30	29091645	4284373219	147.27
08-19-02-46	29091645	4634381007	159.30
08-19-02-61	29091645	4930387255	169.48
08-31-08-91	29091645	4372715488	150.31
08-36-03-25	29091645	4408757411	151.55
09-7500806	29091645	4160174107	143.00
10-01-02-27	29091645	4436206336	152.49
12-7504462	29091645	4476675717	153.88
12-7504652	29091645	4117407115	141.53
12-7505054	29091645	4828456130	165.97
12-7505220	29091645	4592518769	157.86
12-7505446	29091645	4971836669	170.90
AF210	29091645	1771649948	60.90
AF41	29091645	1812494843	62.30
AF72	29091645	2105026387	72.36
AF90	29091645	1717386685	59.03
A_fumigatus_v67-36	29091645	254788220	8.76
A_fumigatus_v67-37	29091645	429249480	14.76
Af293	29091645	4426960894	152.17
Af65	29091645	5511360315	189.45
Afu_1042-09	29091645	3981437487	136.86
Afu_124-E11	29091645	4756601508	163.50
Afu_166-E11	29091645	4106132314	141.14
Afu_218-E11	29091645	4437832839	152.55
Afu_257-E11	29091645	3227238850	110.93
Afu_343-P-11	29091645	3695446711	127.03
Afu_591-12	29091645	3647802693	125.39
Afu_942-09	29091645	4258046997	146.37
B5852	29091645	950943898	32.69
B5854	29091645	970891199	33.37
B5856	29091645	972588474	33.43
B5859	29091645	922214726	31.70
B5863	29091645	1003132941	34.48
B5866	29091645	1052173262	36.17
B5868	29091645	905873095	31.14
B6069	29091645	1085499040	37.31
B6074	29091645	944505758	32.47
B6078	29091645	739057268	25.40
B6079	29091645	1113833682	38.29
B6081	29091645	511749754	17.59
F11628	29091645	934460538	32.12
F12041	29091645	1312071526	45.10
F12219	29091645	1976381510	67.94
F12636	29091645	1707463485	58.69
F12865	29091645	815573028	28.03
F13535	29091645	1363420253	46.87
F13619	29091645	2004143585	68.89
F13952	29091645	1205281338	41.43
F14403	29091645	2126487448	73.10
F14513G	29091645	1338047864	45.99
F14532	29091645	1698622574	58.39
F14946G	29091645	1715052459	58.95
F15390	29091645	1704284494	58.58
F15767	29091645	782167344	26.89
F15927	29091645	1663668626	57.19
F16311	29091645	1791717425	61.59
F17582	29091645	1642300571	56.45
F17729	29091645	1616167580	55.55
F17729W	29091645	1319393511	45.35
F17764	29091645	1540994687	52.97
F18085	29091645	1729926431	59.46
F18149	29091645	535841438	18.42
F5211G	29091645	2240216371	77.01
F7763	29091645	7892004879	271.28
IFM_55369	29091645	632818546	21.75
IFM_58026	29091645	235987001	8.11
IFM_58029	29091645	326138872	11.21
IFM_58401	29091645	243836421	8.38
IFM_59056	29091645	691231008	23.76
IFM_59073	29091645	840476180	28.89
IFM_59355-1	29091645	379274713	13.04
IFM_59355-2	29091645	472387680	16.24
IFM_59356-1	29091645	329442677	11.32
IFM_59356-2	29091645	150342629	5.17
IFM_59356-3	29091645	490021483	16.84
IFM_59359	29091645	632818546	21.75
IFM_59361	29091645	505806887	17.39
IFM_59361-1	29091645	963925392	33.13
IFM_59361-2	29091645	944660228	32.47
IFM_59365	29091645	197925094	6.80
IFM_59777	29091645	258009752	8.87
IFM_60237	29091645	551789097	18.97
IFM_60514	29091645	650510864	22.36
IFM_61118	29091645	292626241	10.06
IFM_61407	29091645	650510864	22.36
IFM_61578	29091645	208990745	7.18
IFM_61610	29091645	551542971	18.96
IFM_62115	29091645	3687725	0.13
IFM_62516	29091645	226527910	7.79
NCPF-7811	29091645	826707097	28.42
NCPF-7816	29091645	1124789796	38.66
NCPF-7820	29091645	592811185	20.38
NCPF-7822	29091645	815553227	28.03
