StrainID,Prefix,Forward,Reverse
204NB-8,204NB-8,204NB-8_S77_L002_R1_001.fastq.gz,204NB-8_S77_L002_R2_001.fastq.gz
AF100-10A,AF100-10A,AF100-10A_S39_L002_R1_001.fastq.gz,AF100-10A_S39_L002_R2_001.fastq.gz
AF100-10B,AF100-10B,AF100-10B_S40_L002_R1_001.fastq.gz,AF100-10B_S40_L002_R2_001.fastq.gz
AF100-10C,AF100-10C,AF100-10C_S41_L002_R1_001.fastq.gz,AF100-10C_S41_L002_R2_001.fastq.gz
AF100-10_5,AF100-10_5,AF100-10_5__S45_L002_R1_001.fastq.gz,AF100-10_5__S45_L002_R2_001.fastq.gz
AF100-11A,AF100-11A,AF100-11A_S42_L002_R1_001.fastq.gz,AF100-11A_S42_L002_R2_001.fastq.gz
AF100-11B,AF100-11B,AF100-11B_S43_L002_R1_001.fastq.gz,AF100-11B_S43_L002_R2_001.fastq.gz
AF100-11C,AF100-11C,AF100-11C_S44_L002_R1_001.fastq.gz,AF100-11C_S44_L002_R2_001.fastq.gz
AF100-11_3,AF100-11_3,AF100-11_3_S46_L002_R1_001.fastq.gz,AF100-11_3_S46_L002_R2_001.fastq.gz
AF100-12_10,AF100-12_10,AF100-12_10_S47_L002_R1_001.fastq.gz,AF100-12_10_S47_L002_R2_001.fastq.gz
AF100-12_13,AF100-12_13,AF100-12_13_S59_L002_R1_001.fastq.gz,AF100-12_13_S59_L002_R2_001.fastq.gz
AF100-12_17,AF100-12_17,AF100-12_17_S60_L002_R1_001.fastq.gz,AF100-12_17_S60_L002_R2_001.fastq.gz
AF100-12_18,AF100-12_18,AF100-12_18_S48_L002_R1_001.fastq.gz,AF100-12_18_S48_L002_R2_001.fastq.gz
AF100-12_1,AF100-12_1,AF100-12_1_S50_L002_R1_001.fastq.gz,AF100-12_1_S50_L002_R2_001.fastq.gz
AF100-12_21,AF100-12_21,AF100-12_21_S56_L002_R1_001.fastq.gz,AF100-12_21_S56_L002_R2_001.fastq.gz
AF100-12_23,AF100-12_23,AF100-12_23_S54_L002_R1_001.fastq.gz,AF100-12_23_S54_L002_R2_001.fastq.gz
AF100-12_24,AF100-12_24,AF100-12_24_S57_L002_R1_001.fastq.gz,AF100-12_24_S57_L002_R2_001.fastq.gz
