StrainID,Prefix,Forward,Reverse
AF100-12_25,AF100-12_25,AF100-12_25_S55_L002_R1_001.fastq.gz,AF100-12_25_S55_L002_R2_001.fastq.gz
AF100-12_26,AF100-12_26,AF100-12_26_S58_L002_R1_001.fastq.gz,AF100-12_26_S58_L002_R2_001.fastq.gz
AF100-12_27,AF100-12_27,AF100-12_27_S51_L002_R1_001.fastq.gz,AF100-12_27_S51_L002_R2_001.fastq.gz
AF100-12_2W,AF100-12_2W,AF100-12_2W_S67_L002_R1_001.fastq.gz,AF100-12_2W_S67_L002_R2_001.fastq.gz
AF100-12_2,AF100-12_2,AF100-12_2_S61_L002_R1_001.fastq.gz,AF100-12_2_S61_L002_R2_001.fastq.gz
AF100-12_32,AF100-12_32,AF100-12_32_S52_L002_R1_001.fastq.gz,AF100-12_32_S52_L002_R2_001.fastq.gz
AF100-12_35,AF100-12_35,AF100-12_35_S49_L002_R1_001.fastq.gz,AF100-12_35_S49_L002_R2_001.fastq.gz
AF100-12_37,AF100-12_37,AF100-12_37_S70_L002_R1_001.fastq.gz,AF100-12_37_S70_L002_R2_001.fastq.gz
AF100-12_38,AF100-12_38,AF100-12_38_S72_L002_R1_001.fastq.gz,AF100-12_38_S72_L002_R2_001.fastq.gz
AF100-12_39,AF100-12_39,AF100-12_39_S73_L002_R1_001.fastq.gz,AF100-12_39_S73_L002_R2_001.fastq.gz
AF100-12_3G,AF100-12_3G,AF100-12_3G_S68_L002_R1_001.fastq.gz,AF100-12_3G_S68_L002_R2_001.fastq.gz
AF100-12_3,AF100-12_3,AF100-12_3_S64_L002_R1_001.fastq.gz,AF100-12_3_S64_L002_R2_001.fastq.gz
AF100-12_40,AF100-12_40,AF100-12_40_S71_L002_R1_001.fastq.gz,AF100-12_40_S71_L002_R2_001.fastq.gz
AF100-12_41,AF100-12_41,AF100-12_41_S74_L002_R1_001.fastq.gz,AF100-12_41_S74_L002_R2_001.fastq.gz
AF100-12_42,AF100-12_42,AF100-12_42_S75_L002_R1_001.fastq.gz,AF100-12_42_S75_L002_R2_001.fastq.gz
AF100-12_43,AF100-12_43,AF100-12_43_S76_L002_R1_001.fastq.gz,AF100-12_43_S76_L002_R2_001.fastq.gz
AF100-12_4,AF100-12_4,AF100-12_4_S65_L002_R1_001.fastq.gz,AF100-12_4_S65_L002_R2_001.fastq.gz
AF100-12_5,AF100-12_5,AF100-12_5_S62_L002_R1_001.fastq.gz,AF100-12_5_S62_L002_R2_001.fastq.gz
AF100-12_7G,AF100-12_7G,AF100-12_7G_S69_L002_R1_001.fastq.gz,AF100-12_7G_S69_L002_R2_001.fastq.gz
AF100-12_7,AF100-12_7,AF100-12_7_S66_L002_R1_001.fastq.gz,AF100-12_7_S66_L002_R2_001.fastq.gz
AF100-12_8,AF100-12_8,AF100-12_8_S63_L002_R1_001.fastq.gz,AF100-12_8_S63_L002_R2_001.fastq.gz
AF100-12_9,AF100-12_9,AF100-12_9_S53_L002_R1_001.fastq.gz,AF100-12_9_S53_L002_R2_001.fastq.gz
AF106-6_10,AF106-6_10,AF106-6_10_S79_L002_R1_001.fastq.gz,AF106-6_10_S79_L002_R2_001.fastq.gz
AF106-6_2,AF106-6_2,AF106-6_2_S88_L002_R1_001.fastq.gz,AF106-6_2_S88_L002_R2_001.fastq.gz
AF106-6_3,AF106-6_3,AF106-6_3_S87_L002_R1_001.fastq.gz,AF106-6_3_S87_L002_R2_001.fastq.gz
AF106-6_4,AF106-6_4,AF106-6_4_S82_L002_R1_001.fastq.gz,AF106-6_4_S82_L002_R2_001.fastq.gz
AF106-6_5,AF106-6_5,AF106-6_5_S78_L002_R1_001.fastq.gz,AF106-6_5_S78_L002_R2_001.fastq.gz
AF106-6_7,AF106-6_7,AF106-6_7_S80_L002_R1_001.fastq.gz,AF106-6_7_S80_L002_R2_001.fastq.gz
AF106-6_9,AF106-6_9,AF106-6_9_S81_L002_R1_001.fastq.gz,AF106-6_9_S81_L002_R2_001.fastq.gz
ATCC46645,ATCC46645,ATCC46645_S93_L002_R1_001.fastq.gz,ATCC46645_S93_L002_R2_001.fastq.gz
AZTEC_10_245,AZTEC_10_245,AZTEC_10_245_S18_L002_R1_001.fastq.gz,AZTEC_10_245_S18_L002_R2_001.fastq.gz
AZTEC_11_1066,AZTEC_11_1066,AZTEC_11_1066_S19_L002_R1_001.fastq.gz,AZTEC_11_1066_S19_L002_R2_001.fastq.gz
AZTEC_12_128,AZTEC_12_128,AZTEC_12_128_S20_L002_R1_001.fastq.gz,AZTEC_12_128_S20_L002_R2_001.fastq.gz
AZTEC_13_751,AZTEC_13_751,AZTEC_13_751_S21_L002_R1_001.fastq.gz,AZTEC_13_751_S21_L002_R2_001.fastq.gz
AZTEC_14_484,AZTEC_14_484,AZTEC_14_484_S22_L002_R1_001.fastq.gz,AZTEC_14_484_S22_L002_R2_001.fastq.gz
AZTEC_15_181,AZTEC_15_181,AZTEC_15_181_S23_L002_R1_001.fastq.gz,AZTEC_15_181_S23_L002_R2_001.fastq.gz
AZTEC_16_237,AZTEC_16_237,AZTEC_16_237_S24_L002_R1_001.fastq.gz,AZTEC_16_237_S24_L002_R2_001.fastq.gz
AZTEC_17_234,AZTEC_17_234,AZTEC_17_234_S25_L002_R1_001.fastq.gz,AZTEC_17_234_S25_L002_R2_001.fastq.gz
AZTEC_18_233,AZTEC_18_233,AZTEC_18_233_S26_L002_R1_001.fastq.gz,AZTEC_18_233_S26_L002_R2_001.fastq.gz
AZTEC_19_231,AZTEC_19_231,AZTEC_19_231_S27_L002_R1_001.fastq.gz,AZTEC_19_231_S27_L002_R2_001.fastq.gz
AZTEC_1_235,AZTEC_1_235,AZTEC_1_235_S9_L002_R1_001.fastq.gz,AZTEC_1_235_S9_L002_R2_001.fastq.gz
AZTEC_20_243,AZTEC_20_243,AZTEC_20_243_S28_L002_R1_001.fastq.gz,AZTEC_20_243_S28_L002_R2_001.fastq.gz
AZTEC_2_251,AZTEC_2_251,AZTEC_2_251_S10_L002_R1_001.fastq.gz,AZTEC_2_251_S10_L002_R2_001.fastq.gz
AZTEC_3_226,AZTEC_3_226,AZTEC_3_226_S11_L002_R1_001.fastq.gz,AZTEC_3_226_S11_L002_R2_001.fastq.gz
AZTEC_4_250,AZTEC_4_250,AZTEC_4_250_S12_L002_R1_001.fastq.gz,AZTEC_4_250_S12_L002_R2_001.fastq.gz
AZTEC_5_223,AZTEC_5_223,AZTEC_5_223_S13_L002_R1_001.fastq.gz,AZTEC_5_223_S13_L002_R2_001.fastq.gz
AZTEC_6_232,AZTEC_6_232,AZTEC_6_232_S14_L002_R1_001.fastq.gz,AZTEC_6_232_S14_L002_R2_001.fastq.gz
AZTEC_7_225,AZTEC_7_225,AZTEC_7_225_S15_L002_R1_001.fastq.gz,AZTEC_7_225_S15_L002_R2_001.fastq.gz
AZTEC_8_224,AZTEC_8_224,AZTEC_8_224_S16_L002_R1_001.fastq.gz,AZTEC_8_224_S16_L002_R2_001.fastq.gz
AZTEC_9_222,AZTEC_9_222,AZTEC_9_222_S17_L002_R1_001.fastq.gz,AZTEC_9_222_S17_L002_R2_001.fastq.gz
B8783_CDC-17,B8783_CDC-17,B8783_CDC-17_S89_L002_R1_001.fastq.gz,B8783_CDC-17_S89_L002_R2_001.fastq.gz
B9781_CDC-19,B9781_CDC-19,B9781_CDC-19__S90_L002_R1_001.fastq.gz,B9781_CDC-19__S90_L002_R2_001.fastq.gz
Corn_Silage_Outer_CA-2,Corn_Silage_Outer_CA-2,Corn_Silage_Outer_CA-2_S91_L002_R1_001.fastq.gz,Corn_Silage_Outer_CA-2_S91_L002_R2_001.fastq.gz
W72310,W72310,W72310_S92_L002_R1_001.fastq.gz,W72310_S92_L002_R2_001.fastq.gz
histone_RFP,histone_RFP,histone_RFP_S94_L002_R1_001.fastq.gz,histone_RFP_S94_L002_R2_001.fastq.gz
