Strain,Forward,Reverse
Af10_WG,Af10_WG_1.fq.gz,Af10_WG_2.fq.gz
Af210_WG,Af210_WG_1.fq.gz,Af210_WG_2.fq.gz
Afum_niveus_RP2014_WG,Afum_niveus_RP2014_WG_1.fq.gz,Afum_niveus_RP2014_WG_2.fq.gz
HMR_AF270_WG,HMR_AF270_WG_1.fq.gz,HMR_AF270_WG_2.fq.gz
HMR_AF706_WG,HMR_AF706_WG_1.fq.gz,HMR_AF706_WG_2.fq.gz
IF1SW-F4_WG,IF1SW-F4_WG_1.fq.gz,IF1SW-F4_WG_2.fq.gz
JCM10253_WG,JCM10253_WG_1.fq.gz,JCM10253_WG_2.fq.gz
LMB-35Aa_WG,LMB-35Aa_WG_1.fq.gz,LMB-35Aa_WG_2.fq.gz
SPS-2_WG,SPS-2_WG_1.fq.gz,SPS-2_WG_2.fq.gz
Z5_WG,Z5_WG_1.fq.gz,Z5_WG_2.fq.gz
