StrainID,Prefix,Read1,Read2
AF100-12_9,AF100-12_9,AF100-12_9_R1.fastq.gz,AF100-12_9_R2.fastq.gz
AF100-12_23,AF100-12_23,AF100-12_23_R1.fastq.gz,AF100-12_23_R2.fastq.gz
AF100-12_27,AF100-12_27,AF100-12_27_R1.fastq.gz,AF100-12_27_R2.fastq.gz
AF100-12_32,AF100-12_32,AF100-12_32_R1.fastq.gz,AF100-12_32_R2.fastq.gz
