RunAcc,Strain,BioSample,Center,Experiment,Project
DRR015087,IFM 55369,SAMD00013557,CHIBA_U,DRX013572,PRJDB1541
DRR015088,IFM 55369,SAMD00013557,CHIBA_U,DRX013572,PRJDB1541
DRR015089,IFM 55369,SAMD00013557,CHIBA_U,DRX013572,PRJDB1541
DRR015090,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015091,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015092,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015093,IFM 59056,SAMD00013552,CHIBA_U,DRX013573,PRJDB1541
DRR015094,IFM 59359,SAMD00013546,CHIBA_U,DRX013574,PRJDB1541
DRR015095,IFM 59359,SAMD00013546,CHIBA_U,DRX013574,PRJDB1541
DRR015096,IFM 59359,SAMD00013546,CHIBA_U,DRX013574,PRJDB1541
DRR015097,IFM 59361,SAMD00013551,CHIBA_U,DRX013575,PRJDB1541
DRR015098,IFM 59361,SAMD00013551,CHIBA_U,DRX013575,PRJDB1541
DRR015099,IFM 59361,SAMD00013551,CHIBA_U,DRX013575,PRJDB1541
DRR015100,IFM 60514,SAMD00013544,CHIBA_U,DRX013576,PRJDB1541
DRR015101,IFM 60514,SAMD00013544,CHIBA_U,DRX013576,PRJDB1541
DRR015102,IFM 60514,SAMD00013544,CHIBA_U,DRX013576,PRJDB1541
DRR015105,IFM 59073,SAMD00013554,CHIBA_U,DRX013577,PRJDB1541
DRR015106,IFM 59073,SAMD00013554,CHIBA_U,DRX013577,PRJDB1541
DRR015107,IFM 61407,SAMD00013549,CHIBA_U,DRX013578,PRJDB1541
DRR015108,IFM 61407,SAMD00013549,CHIBA_U,DRX013578,PRJDB1541
DRR015109,IFM 61407,SAMD00013549,CHIBA_U,DRX013578,PRJDB1541
DRR015110,IFM 61610,SAMD00013558,CHIBA_U,DRX013579,PRJDB1541
DRR015111,IFM 61610,SAMD00013558,CHIBA_U,DRX013579,PRJDB1541
DRR015112,IFM 61610,SAMD00013558,CHIBA_U,DRX013579,PRJDB1541
DRR017535,IFM 58026,SAMD00013550,CHIBA_U,DRX015829,PRJDB1541
DRR017536,IFM 58026,SAMD00013550,CHIBA_U,DRX015829,PRJDB1541
