BioSample	Strain
REF	Af293_Ref
SAMD00013557	IFM 55369
SAMD00013552	IFM 59056
SAMD00013552	IFM 59056
SAMD00013552	IFM 59056
SAMD00013546	IFM 59359
SAMD00013546	IFM 59359
SAMD00013546	IFM 59359
SAMD00013551	IFM 59361
SAMD00013551	IFM 59361
SAMD00013551	IFM 59361
SAMD00013544	IFM 60514
SAMD00013544	IFM 60514
SAMD00013544	IFM 60514
SAMD00013554	IFM 59073
SAMD00013554	IFM 59073
SAMD00013549	IFM 61407
SAMD00013549	IFM 61407
SAMD00013549	IFM 61407
SAMD00013558	IFM 61610
SAMD00013558	IFM 61610
SAMD00013558	IFM 61610
SAMD00013550	IFM 58026
SAMD00013550	IFM 58026
SAMD00013550	IFM 58026
SAMD00013545	IFM 58029
SAMD00013545	IFM 58029
SAMD00013545	IFM 58029
SAMD00013548	IFM 58401
SAMD00013548	IFM 58401
SAMD00013548	IFM 58401
SAMD00013555	IFM 59365
SAMD00013555	IFM 59365
SAMD00013555	IFM 59365
SAMD00013547	IFM 59777
SAMD00013547	IFM 59777
SAMD00013547	IFM 59777
SAMD00013543	IFM 61118
SAMD00013543	IFM 61118
SAMD00013543	IFM 61118
SAMD00013553	IFM 61578
SAMD00013553	IFM 61578
SAMD00013553	IFM 61578
SAMD00013556	IFM 62115
SAMD00013556	IFM 62115
SAMD00013556	IFM 62115
SAMD00013559	IFM 62516
SAMD00013559	IFM 62516
SAMD00013559	IFM 62516
SAMD00019242	IFM 59355-1
SAMD00019242	IFM 59355-1
SAMD00019243	IFM 59355-2
SAMD00019243	IFM 59355-2
SAMD00019244	IFM 59356-1
SAMD00019244	IFM 59356-1
SAMD00019245	IFM 59356-2
SAMD00019245	IFM 59356-2
SAMD00019246	IFM 59356-3
SAMD00019246	IFM 59356-3
SAMD00019247	IFM 59361-1
SAMD00019248	IFM 59361-2
SAMD00019249	IFM 60237
SAMEA1709823	A_fumigatus_v67-37
SAMEA1709821	A_fumigatus_v67-36
SAMEA3267226	Af293
SAMEA3267227	Af65
SAMEA3267220	12-7505446
SAMEA3267221	12-7505220
SAMEA3267222	09-7500806
SAMEA3267223	12-7504652
SAMEA3267224	12-7504462
SAMEA3267225	12-7505054
SAMEA3267228	08-12-12-13
SAMEA3267229	08-36-03-25
SAMEA3267230	08-31-08-91
SAMEA3267231	08-19-02-61
SAMEA3267232	08-19-02-30
SAMEA3267233	10-01-02-27
SAMEA3267234	08-19-02-46
SAMEA3267235	08-19-02-10
SAMEA3267236	Afu_942/09
SAMEA3267237	Afu_1042/09
SAMEA3267238	Afu_343/P/11
SAMEA3267239	Afu_591/12
SAMEA3267240	Afu_124/E11
SAMEA3267241	Afu_166/E11
SAMEA3267242	Afu_257/E11
SAMEA3267243	Afu_218/E11
SAMN00115744	A1163
SAMN00115745	AF210
SAMN00254055	NCPF-7816
SAMN00254056	NCPF-7811
SAMN00254057	NCPF-7820
SAMN00254058	NCPF-7822
SAMN00717298	B5852
SAMN00717299	B5854
SAMN00717300	B5856
SAMN00717301	B5859
SAMN00717302	B5863
SAMN00717303	B5866
SAMN00717304	B5868
SAMN00717305	B6069
SAMN00717306	B6074
SAMN00717307	B6078
SAMN00717313	B6079
SAMN00717314	B6081
SAMN00717316	F11628
SAMN00717317	F12865
SAMN00717318	F15767
SAMN05511648	ISSF_21
SAMN05511649	1F1SW_F4
SAMN05446538	A1159
SAMN05446300	A1159-T0-2
SAMN07222744	MO68507EXP
SAMN07222736	MO54056EXP
SAMN07222746	MO76959EXP
SAMN07222745	MO69250EXP
SAMN07222748	MO79587EXP
SAMN07222747	MO78722EXP
SAMN07222750	MO91298SB
SAMN07222749	MO89263LAB
SAMN01815885	AF41
SAMN01815886	AF72
SAMN01815887	AF90
SAMN01815888	F12041
SAMN01815889	F12219
SAMN01815890	F12636
SAMN01815891	F13535
SAMN01815892	F13619
SAMN01815893	F13952
SAMN01815894	F14403
SAMN01815895	F14513G
SAMN01815896	F14532
SAMN01815897	F14946G
SAMN01815898	F15390
SAMN01815899	F15927
SAMN01815900	F16134
SAMN01815901	F16216
SAMN01815902	F16311
SAMN01815903	F17582
SAMN01815904	F17729
SAMN01815905	F17729W
SAMN01815906	F5211G
SAMN01815907	F18085
SAMN01815908	F18149
SAMN01815909	F7763
SAMN01815910	F17764
