StrainID,Prefix,Read1,Read2
204NB-8,204NB-8,204NB-8_R1.fastq.gz,204NB-8_R2.fastq.gz
AF100-10A,AF100-10A,AF100-10A_R1.fastq.gz,AF100-10A_R2.fastq.gz
AF100-10B,AF100-10B,AF100-10B_R1.fastq.gz,AF100-10B_R2.fastq.gz
AF100-10C,AF100-10C,AF100-10C_R1.fastq.gz,AF100-10C_R2.fastq.gz
AF100-10_5,AF100-10_5,AF100-10_5_R1.fastq.gz,AF100-10_5_R2.fastq.gz
AF100-11A,AF100-11A,AF100-11A_R1.fastq.gz,AF100-11A_R2.fastq.gz
AF100-11B,AF100-11B,AF100-11B_R1.fastq.gz,AF100-11B_R2.fastq.gz
AF100-11C,AF100-11C,AF100-11C_R1.fastq.gz,AF100-11C_R2.fastq.gz
AF100-11_3,AF100-11_3,AF100-11_3_R1.fastq.gz,AF100-11_3_R2.fastq.gz
AF100-12_10,AF100-12_10,AF100-12_10_R1.fastq.gz,AF100-12_10_R2.fastq.gz
AF100-12_13,AF100-12_13,AF100-12_13_R1.fastq.gz,AF100-12_13_R2.fastq.gz
AF100-12_17,AF100-12_17,AF100-12_17_R1.fastq.gz,AF100-12_17_R2.fastq.gz
AF100-12_18,AF100-12_18,AF100-12_18_R1.fastq.gz,AF100-12_18_R2.fastq.gz
AF100-12_1,AF100-12_1,AF100-12_1_R1.fastq.gz,AF100-12_1_R2.fastq.gz
AF100-12_21,AF100-12_21,AF100-12_21_R1.fastq.gz,AF100-12_21_R2.fastq.gz
AF100-12_24,AF100-12_24,AF100-12_24_R1.fastq.gz,AF100-12_24_R2.fastq.gz
AF100-12_25,AF100-12_25,AF100-12_25_R1.fastq.gz,AF100-12_25_R2.fastq.gz
AF100-12_26,AF100-12_26,AF100-12_26_R1.fastq.gz,AF100-12_26_R2.fastq.gz
AF100-12_2W,AF100-12_2W,AF100-12_2W_R1.fastq.gz,AF100-12_2W_R2.fastq.gz
AF100-12_2,AF100-12_2,AF100-12_2_R1.fastq.gz,AF100-12_2_R2.fastq.gz
AF100-12_35,AF100-12_35,AF100-12_35_R1.fastq.gz,AF100-12_35_R2.fastq.gz
AF100-12_37,AF100-12_37,AF100-12_37_R1.fastq.gz,AF100-12_37_R2.fastq.gz
AF100-12_38,AF100-12_38,AF100-12_38_R1.fastq.gz,AF100-12_38_R2.fastq.gz
AF100-12_39,AF100-12_39,AF100-12_39_R1.fastq.gz,AF100-12_39_R2.fastq.gz
AF100-12_3G,AF100-12_3G,AF100-12_3G_R1.fastq.gz,AF100-12_3G_R2.fastq.gz
AF100-12_3,AF100-12_3,AF100-12_3_R1.fastq.gz,AF100-12_3_R2.fastq.gz
AF100-12_40,AF100-12_40,AF100-12_40_R1.fastq.gz,AF100-12_40_R2.fastq.gz
AF100-12_41,AF100-12_41,AF100-12_41_R1.fastq.gz,AF100-12_41_R2.fastq.gz
AF100-12_42,AF100-12_42,AF100-12_42_R1.fastq.gz,AF100-12_42_R2.fastq.gz
AF100-12_43,AF100-12_43,AF100-12_43_R1.fastq.gz,AF100-12_43_R2.fastq.gz
AF100-12_4,AF100-12_4,AF100-12_4_R1.fastq.gz,AF100-12_4_R2.fastq.gz
AF100-12_5,AF100-12_5,AF100-12_5_R1.fastq.gz,AF100-12_5_R2.fastq.gz
AF100-12_7G,AF100-12_7G,AF100-12_7G_R1.fastq.gz,AF100-12_7G_R2.fastq.gz
AF100-12_7,AF100-12_7,AF100-12_7_R1.fastq.gz,AF100-12_7_R2.fastq.gz
AF100-12_8,AF100-12_8,AF100-12_8_R1.fastq.gz,AF100-12_8_R2.fastq.gz
AF106-6_10,AF106-6_10,AF106-6_10_R1.fastq.gz,AF106-6_10_R2.fastq.gz
AF106-6_2,AF106-6_2,AF106-6_2_R1.fastq.gz,AF106-6_2_R2.fastq.gz
AF106-6_3,AF106-6_3,AF106-6_3_R1.fastq.gz,AF106-6_3_R2.fastq.gz
AF106-6_4,AF106-6_4,AF106-6_4_R1.fastq.gz,AF106-6_4_R2.fastq.gz
AF106-6_5,AF106-6_5,AF106-6_5_R1.fastq.gz,AF106-6_5_R2.fastq.gz
AF106-6_7,AF106-6_7,AF106-6_7_R1.fastq.gz,AF106-6_7_R2.fastq.gz
AF106-6_9,AF106-6_9,AF106-6_9_R1.fastq.gz,AF106-6_9_R2.fastq.gz
ATCC46645,ATCC46645,ATCC46645_R1.fastq.gz,ATCC46645_R2.fastq.gz
AZTEC_10_245,AZTEC_10_245,AZTEC_10_245_R1.fastq.gz,AZTEC_10_245_R2.fastq.gz
AZTEC_11_1066,AZTEC_11_1066,AZTEC_11_1066_R1.fastq.gz,AZTEC_11_1066_R2.fastq.gz
AZTEC_12_128,AZTEC_12_128,AZTEC_12_128_R1.fastq.gz,AZTEC_12_128_R2.fastq.gz
AZTEC_13_751,AZTEC_13_751,AZTEC_13_751_R1.fastq.gz,AZTEC_13_751_R2.fastq.gz
