StrainID,Prefix,Read1,Read2
AZTEC_14_484,AZTEC_14_484,AZTEC_14_484_R1.fastq.gz,AZTEC_14_484_R2.fastq.gz
AZTEC_15_181,AZTEC_15_181,AZTEC_15_181_R1.fastq.gz,AZTEC_15_181_R2.fastq.gz
AZTEC_16_237,AZTEC_16_237,AZTEC_16_237_R1.fastq.gz,AZTEC_16_237_R2.fastq.gz
AZTEC_17_234,AZTEC_17_234,AZTEC_17_234_R1.fastq.gz,AZTEC_17_234_R2.fastq.gz
AZTEC_18_233,AZTEC_18_233,AZTEC_18_233_R1.fastq.gz,AZTEC_18_233_R2.fastq.gz
AZTEC_19_231,AZTEC_19_231,AZTEC_19_231_R1.fastq.gz,AZTEC_19_231_R2.fastq.gz
AZTEC_1_235,AZTEC_1_235,AZTEC_1_235_R1.fastq.gz,AZTEC_1_235_R2.fastq.gz
AZTEC_20_243,AZTEC_20_243,AZTEC_20_243_R1.fastq.gz,AZTEC_20_243_R2.fastq.gz
AZTEC_2_251,AZTEC_2_251,AZTEC_2_251_R1.fastq.gz,AZTEC_2_251_R2.fastq.gz
AZTEC_3_226,AZTEC_3_226,AZTEC_3_226_R1.fastq.gz,AZTEC_3_226_R2.fastq.gz
AZTEC_4_250,AZTEC_4_250,AZTEC_4_250_R1.fastq.gz,AZTEC_4_250_R2.fastq.gz
AZTEC_5_223,AZTEC_5_223,AZTEC_5_223_R1.fastq.gz,AZTEC_5_223_R2.fastq.gz
AZTEC_6_232,AZTEC_6_232,AZTEC_6_232_R1.fastq.gz,AZTEC_6_232_R2.fastq.gz
AZTEC_7_225,AZTEC_7_225,AZTEC_7_225_R1.fastq.gz,AZTEC_7_225_R2.fastq.gz
AZTEC_8_224,AZTEC_8_224,AZTEC_8_224_R1.fastq.gz,AZTEC_8_224_R2.fastq.gz
AZTEC_9_222,AZTEC_9_222,AZTEC_9_222_R1.fastq.gz,AZTEC_9_222_R2.fastq.gz
B8783_CDC-17,B8783_CDC-17,B8783_CDC-17_R1.fastq.gz,B8783_CDC-17_R2.fastq.gz
B9781_CDC-19,B9781_CDC-19,B9781_CDC-19_R1.fastq.gz,B9781_CDC-19_R2.fastq.gz
Corn_Silage_Outer_CA-2,Corn_Silage_Outer_CA-2,Corn_Silage_Outer_CA-2_R1.fastq.gz,Corn_Silage_Outer_CA-2_R2.fastq.gz
W72310,W72310,W72310_R1.fastq.gz,W72310_R2.fastq.gz
histone_RFP,histone_RFP,histone_RFP_R1.fastq.gz,histone_RFP_R2.fastq.gz
