GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_102330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1340	0.0000	1.0400	0.0000	0.0002	0.0006	0.0005	1.0542	0.0027	0.0000	0.0000	0.0057	0.0027	0.0000	0.0000	0.0001	0.0003	0.0008	0.0000	0.0000	0.1962	0.0004	0.0000	0.0009	0.0006	0.0006	0.0000	0.0006	0.0008	0.0026	0.9349	0.9667	1.0252	0.9671	0.9466	0.0000	0.0022	0.0004	0.9949	0.0000	0.0000	2.0308	0.0039	0.0015	0.0028	1.0045	0.0003	1.0970	1.0286	0.0000	1.0313	0.0000	0.0029	0.0000	0.0000	1.0555	0.9886	1.0399	0.0001	0.0000	0.8915	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0920	0.9777	0.9332	0.9853	1.6133	1.0185	0.0000	1.1968	0.0000	1.0627	0.0000	0.0334	0.0039	0.9338	0.0245	0.0007
AFUB_102340	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	1.0663	0.0000	1.0482	0.0000	0.0001	0.0000	0.0000	1.0481	0.0000	0.0000	0.0000	0.0023	0.0007	0.0000	0.0002	0.0000	0.0001	0.0000	0.0000	0.0000	0.1941	0.0000	0.0000	0.0003	0.0000	0.0003	0.0003	0.0006	0.0006	0.0022	0.9697	0.9723	0.9866	0.9739	1.0364	0.0016	0.0007	0.0003	0.9983	0.0039	0.0000	1.9731	0.0046	0.0003	0.0030	1.0442	0.0005	1.0108	1.0669	0.0007	1.0430	0.0005	0.0011	0.0000	0.0000	1.0802	1.1466	1.0401	0.0001	0.0000	0.7620	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1685	0.9070	0.9042	1.0118	2.0440	0.8608	0.0000	0.9632	0.0000	0.9373	0.0000	0.0180	0.0014	1.0016	0.0334	0.0004
AFUB_102350	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	1.0805	0.0000	1.0909	0.0000	0.0001	0.0001	0.0001	1.0698	0.0000	0.0000	0.0000	0.0023	0.0041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2294	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0014	0.0058	0.9241	0.9855	1.0031	0.9603	0.9522	0.0016	0.0000	0.0000	0.9731	0.0039	0.0000	1.9200	0.0051	0.0003	0.0024	1.0137	0.0000	1.0507	0.9996	0.0000	1.0645	0.0000	0.0029	0.0000	0.0000	1.0910	1.0814	0.9934	0.0000	0.0000	0.7226	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9086	0.8835	1.1294	0.9985	2.0733	1.0801	0.0000	0.9682	0.0000	0.9805	0.0000	0.0616	0.0056	0.9829	0.0348	0.0007
AFUB_102360	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1091	0.0000	0.7145	0.0000	0.0000	0.0000	0.0000	0.2080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.5342	0.5879	0.5969	0.5466	0.4923	0.0000	0.0000	0.0000	0.0961	0.0000	0.0000	0.7692	0.0084	0.0000	0.0000	0.6578	0.0000	0.5814	0.5987	0.0000	0.6650	0.0000	0.0000	0.0000	0.0000	0.7302	0.5071	0.0921	0.0000	0.0000	0.0727	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1225	0.1144	0.0730	0.0809	0.9436	0.0975	0.0000	0.1193	0.0000	0.0808	0.0000	0.0077	0.0000	0.3120	0.0000	0.0000
