GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_072210	127.90	157.95	148.20	157.04	165.42	165.34	152.00	136.98	145.45	159.48	146.51	163.55	160.81	181.50	62.23	67.95	76.93	84.40	8.40	14.17	160.90	218.21	166.18	175.04	152.63	159.37	113.64	127.26	136.76	151.85	45.34	47.04	49.89	40.73	40.79	42.47	39.78	45.47	47.38	33.19	49.32	24.12	34.30	44.71	67.93	64.47	31.46	60.04	75.34	43.96	83.05	56.17	58.69	71.74	60.81	30.55	81.64	73.73	62.78	60.74	49.53	58.27	64.69	26.88	87.99	300.11	16.52	5.14	8.26	8.57	15.76	21.68	13.05	14.51	11.51	4.57	16.98	16.52	10.34	34.93	34.72	5.82	6.59	23.87	18.77	6.19	18.77	5.05	14.89	0.00	6.08	41.93	57.22	33.48	38.05
AFUB_072220	110.05	152.43	131.84	143.99	157.60	147.12	141.28	135.14	140.38	151.09	141.67	149.97	141.01	161.97	55.97	68.85	79.51	70.12	8.65	15.32	156.76	193.90	135.39	153.50	135.05	148.88	116.05	116.08	119.38	144.97	37.16	40.83	40.23	37.01	36.29	43.66	37.37	43.75	38.39	28.72	43.79	19.29	37.84	49.94	77.37	63.71	33.44	51.98	77.68	44.57	81.58	54.70	66.99	67.17	60.49	31.41	68.72	68.15	62.55	61.07	50.85	58.74	63.68	22.17	90.75	313.18	23.57	5.06	11.03	6.42	23.63	22.54	10.16	15.79	11.01	3.92	16.18	23.57	18.27	35.60	36.97	4.54	7.31	17.54	15.41	10.26	15.41	5.30	22.46	0.10	6.85	35.99	51.34	27.15	33.59
AFUB_072230	121.86	154.64	136.37	149.84	157.79	150.38	152.47	141.08	140.89	162.85	135.96	162.42	142.87	166.18	56.63	73.07	80.35	72.69	9.02	15.90	170.11	206.31	142.91	181.71	145.69	159.96	106.34	124.42	121.29	149.22	38.61	43.56	40.85	40.02	40.00	41.57	36.19	40.10	35.10	28.90	41.78	22.39	35.95	42.66	72.03	64.60	33.81	46.04	70.71	41.95	74.39	47.39	64.07	65.05	56.73	32.04	72.95	67.55	58.96	59.90	52.25	65.23	54.54	18.15	76.56	303.73	16.56	6.29	9.86	6.41	28.18	30.17	11.48	17.55	12.54	2.70	8.76	16.56	20.50	29.13	33.85	5.49	15.51	15.35	20.46	8.79	20.46	7.66	20.85	0.27	9.07	43.89	58.51	29.33	38.76
AFUB_072240	113.41	155.99	134.45	145.27	157.86	139.93	141.18	132.58	135.51	145.45	140.81	154.87	150.50	166.51	59.88	69.71	77.67	67.13	9.01	15.16	155.55	189.64	127.15	159.68	136.05	142.81	109.52	120.10	123.87	142.28	36.02	35.43	35.36	33.15	36.47	37.51	33.56	39.32	35.30	25.79	41.16	18.84	34.67	49.70	73.93	61.79	29.25	50.02	65.26	44.44	77.42	48.68	59.93	62.32	60.80	28.60	63.49	66.30	60.78	60.87	47.99	59.38	62.63	20.17	81.26	285.26	24.20	6.83	12.76	9.22	25.15	29.26	13.09	17.27	11.18	3.93	14.90	24.20	18.37	32.77	32.98	7.40	7.79	17.12	25.13	10.74	25.13	8.30	24.73	0.12	9.46	31.65	42.65	21.89	31.08
AFUB_072250	110.14	165.83	145.06	154.64	164.21	146.28	153.45	133.29	147.33	146.72	137.44	154.75	153.35	169.57	63.23	63.80	74.61	67.98	8.30	15.61	150.11	194.45	136.91	159.70	143.74	151.70	109.26	121.86	121.40	140.00	37.42	37.83	37.11	35.95	37.82	41.12	35.41	41.75	36.59	28.42	42.80	19.12	35.91	45.79	69.26	59.43	29.87	47.08	68.83	43.51	75.38	43.39	54.02	58.94	59.89	28.07	67.27	62.61	57.43	59.78	44.72	57.40	63.57	22.11	79.12	276.94	22.48	8.58	13.06	8.04	22.60	25.26	10.79	16.60	12.81	4.58	15.44	22.48	17.16	29.88	30.25	5.95	8.45	18.77	22.13	8.22	22.13	7.25	19.87	0.07	9.30	33.17	46.30	23.89	33.94
AFUB_072260	115.49	164.57	142.06	159.91	167.46	148.02	147.08	139.20	147.09	151.16	138.67	147.86	150.11	164.64	65.92	66.08	75.69	66.15	11.03	16.09	143.47	200.03	132.61	160.08	142.01	149.98	103.17	130.91	129.01	148.50	35.17	37.27	34.04	32.14	39.73	38.35	32.81	38.52	38.16	27.25	42.15	19.42	34.79	53.02	76.43	65.15	27.72	58.32	72.32	41.95	76.04	49.68	64.78	57.23	61.87	27.32	61.37	68.73	62.22	55.17	50.83	59.99	71.48	19.80	83.97	301.96	20.81	10.63	12.52	9.55	31.91	27.17	10.39	15.43	12.77	2.49	17.81	20.81	17.23	25.19	29.96	6.74	7.90	10.66	21.64	10.27	21.64	9.03	22.73	0.55	6.85	33.20	44.82	22.46	29.86
AFUB_072270	112.40	172.35	145.84	157.98	168.12	150.87	144.13	134.83	147.24	143.91	146.50	160.52	155.40	170.43	62.74	65.99	75.89	66.11	9.28	14.55	148.03	190.13	136.03	157.43	137.69	152.02	114.06	120.15	124.54	148.00	37.67	38.07	34.57	33.40	37.45	41.92	33.81	39.18	33.57	27.27	40.73	19.39	31.12	49.06	78.59	59.84	25.91	50.48	74.69	41.25	76.48	48.24	62.10	58.75	59.35	26.67	59.31	69.59	64.78	56.87	50.67	57.46	60.06	20.46	78.19	291.58	23.41	9.39	10.10	8.00	23.26	27.45	12.88	13.99	11.26	5.66	20.49	23.41	14.67	28.46	31.81	7.87	8.75	18.84	24.55	10.70	24.55	7.84	17.62	0.10	9.67	32.81	46.27	22.61	30.89
AFUB_072280	124.41	162.30	129.25	149.38	162.62	139.42	143.72	133.20	152.83	147.17	142.22	151.73	147.46	171.65	57.83	74.85	68.57	63.65	10.55	10.64	154.36	171.44	141.29	155.86	138.40	147.19	109.40	117.19	112.03	140.95	27.54	27.14	28.59	28.61	32.83	28.47	24.94	32.73	27.65	21.86	34.94	16.48	29.65	56.75	67.09	57.19	24.93	49.49	64.63	44.92	74.26	51.94	51.62	60.95	63.37	23.62	50.35	62.02	57.92	60.65	50.84	53.66	60.38	18.41	71.54	274.24	25.43	6.48	8.05	5.57	19.49	24.24	9.32	26.57	11.60	2.75	9.97	25.43	14.57	32.46	37.74	9.30	7.65	21.72	20.08	6.89	20.08	5.45	12.43	0.14	6.75	29.53	34.20	23.91	24.16
AFUB_072290	120.47	181.32	143.08	156.43	167.26	157.12	151.56	135.94	151.38	149.51	145.61	165.82	155.96	174.68	69.43	70.55	80.98	60.99	10.87	17.29	158.35	183.96	133.90	166.90	139.89	158.97	112.06	128.38	122.10	150.96	35.28	38.59	36.16	32.46	36.48	36.56	33.90	42.19	33.56	25.60	39.38	18.15	33.94	47.13	75.76	57.80	31.05	49.38	72.63	42.50	81.38	51.11	65.01	63.67	67.00	27.93	64.87	65.50	58.46	56.85	47.89	59.84	68.45	21.60	84.41	293.29	24.48	9.58	11.59	10.07	28.23	29.27	13.30	19.04	13.21	4.34	18.79	24.48	20.50	30.60	31.63	7.64	10.61	16.11	26.14	11.73	26.14	7.30	20.08	0.05	8.89	28.47	40.75	21.74	30.05
AFUB_072300	119.04	172.93	146.30	161.93	179.16	155.86	148.95	146.62	154.59	154.07	150.54	179.91	170.92	172.96	63.36	58.25	81.53	65.67	9.43	14.78	161.04	188.89	133.30	164.38	150.66	151.74	116.45	135.47	128.55	149.75	32.94	32.30	32.97	33.58	33.41	33.35	32.83	33.75	28.22	24.38	36.15	17.41	33.63	46.66	68.27	50.99	30.05	45.86	71.52	45.77	78.95	48.33	58.81	58.06	64.61	24.35	59.54	62.41	63.05	60.57	48.83	60.12	58.67	18.23	70.30	290.08	23.41	6.74	18.22	7.04	22.85	26.96	15.80	16.75	13.78	7.20	17.96	23.41	16.07	34.14	32.68	5.78	9.71	19.64	21.67	9.82	21.67	6.23	33.82	0.06	7.43	26.46	41.16	20.21	29.15
