GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_062900	111.40	171.07	149.66	161.26	172.68	153.22	153.23	145.10	147.53	154.21	145.21	175.22	156.84	180.32	58.74	65.10	73.04	69.14	9.46	16.16	161.21	194.00	152.49	171.26	150.88	158.16	116.12	127.28	124.61	148.05	38.33	40.38	38.48	37.17	37.05	42.62	36.33	43.51	40.13	29.96	45.63	20.32	33.81	44.57	70.89	60.25	29.39	50.06	67.72	44.41	78.72	49.09	60.40	65.41	61.69	27.16	75.69	63.90	62.51	60.80	48.07	57.08	65.62	25.16	90.49	295.94	16.96	5.41	9.29	6.10	19.62	20.12	10.35	18.93	12.77	3.81	12.62	16.96	15.64	32.11	31.81	4.42	8.06	15.71	20.05	8.21	20.05	5.18	20.08	0.00	6.58	36.44	48.22	27.84	31.41
AFUB_062910	117.65	182.83	137.94	147.85	167.95	147.74	147.31	135.83	146.38	150.69	133.90	172.90	152.90	180.90	53.33	73.50	72.25	64.60	9.37	15.00	149.90	171.72	122.24	157.72	144.54	154.43	108.22	123.04	120.78	138.72	34.74	36.71	34.09	39.67	33.33	35.95	33.48	38.10	36.00	25.71	42.22	18.84	32.20	47.36	83.28	58.25	27.45	50.64	70.40	50.75	75.05	44.99	60.80	58.00	64.11	25.07	73.87	77.45	55.36	60.81	52.03	61.50	62.46	24.44	82.17	270.97	27.69	6.82	12.75	11.73	24.71	28.24	15.08	16.42	11.26	4.26	22.33	27.69	15.48	32.36	36.50	7.96	11.96	19.89	22.00	21.35	22.00	4.05	24.00	0.00	6.89	35.80	43.77	22.11	32.19
AFUB_062920	113.66	167.21	142.77	157.36	163.50	146.64	141.30	134.70	141.55	144.83	136.57	156.89	151.89	167.09	63.29	68.16	78.40	67.07	8.44	15.86	155.44	185.72	145.94	161.66	135.55	151.52	109.35	122.32	120.29	141.88	36.25	37.41	38.90	36.06	37.82	39.66	35.91	40.26	36.69	26.54	43.39	19.16	35.95	48.93	70.94	57.18	31.18	49.43	69.54	42.29	75.81	49.80	59.39	60.41	61.47	29.02	62.76	62.82	60.06	61.60	45.28	58.59	60.20	19.38	83.86	285.51	25.58	6.10	12.63	10.02	27.59	31.56	12.28	16.20	10.93	4.13	15.41	25.58	19.38	35.11	30.52	6.39	7.74	20.05	23.44	9.87	23.44	7.49	23.18	0.09	8.10	32.24	47.58	23.29	30.96
AFUB_062930	112.20	171.17	141.98	163.23	168.75	155.05	146.00	136.71	145.34	149.52	135.80	152.71	148.80	162.03	66.50	66.84	75.21	71.64	9.30	16.23	155.67	189.44	152.23	168.86	146.65	156.09	112.85	134.89	124.64	143.93	39.71	40.75	41.69	39.14	41.03	41.86	37.60	43.82	37.76	29.37	45.77	19.47	34.95	46.57	72.85	55.45	31.93	50.26	71.66	42.17	80.77	49.87	60.89	60.89	62.65	30.64	65.47	62.55	57.44	58.12	47.69	56.42	62.75	18.64	85.74	280.41	21.83	4.50	11.73	5.72	26.45	24.22	12.94	18.14	13.35	4.25	13.75	21.83	16.80	33.88	34.43	7.66	9.13	20.34	21.57	9.27	21.57	6.00	20.60	0.02	8.56	36.61	49.47	25.21	32.59
AFUB_062940	107.79	178.52	150.14	149.60	153.47	150.03	151.93	136.65	144.27	154.86	130.49	160.45	150.38	171.64	66.06	68.73	83.15	74.84	10.28	15.07	154.76	187.32	153.54	158.41	153.47	153.41	115.21	138.56	137.61	151.87	40.76	40.42	40.23	41.21	39.91	39.89	36.83	37.58	37.96	29.42	43.54	18.42	35.83	48.40	79.45	65.17	33.12	54.86	80.26	47.25	81.10	47.72	59.82	64.47	62.25	33.17	55.63	69.42	67.60	64.38	51.16	55.92	69.57	17.61	87.78	303.63	28.95	7.35	13.42	5.38	31.00	27.31	10.45	15.24	16.95	5.85	14.92	28.95	19.31	30.83	29.84	8.17	10.21	20.19	25.83	8.64	25.83	6.67	22.48	0.52	7.92	33.99	46.56	27.09	35.99
AFUB_062950	104.40	178.18	138.52	152.68	165.73	137.95	136.76	130.81	140.91	138.78	130.59	156.74	147.46	156.96	62.47	63.83	87.39	63.80	8.37	17.03	155.16	181.14	136.04	160.81	139.42	143.26	110.83	112.52	110.20	145.44	33.33	39.04	35.12	33.76	34.74	37.37	36.11	42.88	39.12	28.35	38.43	18.68	35.79	48.97	71.25	54.67	30.21	51.87	69.22	44.86	79.11	46.55	58.45	59.50	66.58	27.53	56.92	53.96	58.26	59.68	54.33	60.05	63.90	14.79	84.64	299.51	23.85	6.83	14.36	8.64	31.44	27.25	12.72	20.27	13.23	6.84	18.51	23.85	18.35	38.59	37.59	4.51	7.53	20.46	23.74	8.19	23.74	8.55	18.47	0.34	11.26	30.86	46.65	24.58	32.62
AFUB_062960	106.52	171.57	130.83	152.99	164.70	154.67	140.80	130.45	138.03	141.95	132.07	144.21	149.21	163.39	70.08	67.27	80.98	67.29	9.76	14.90	151.87	180.74	124.84	164.04	140.25	139.02	109.94	125.68	117.80	135.93	37.93	39.05	34.62	37.98	40.08	42.88	36.78	40.09	35.56	27.75	41.22	19.13	36.49	46.79	80.27	61.18	31.27	50.46	69.16	48.33	78.30	49.21	63.16	65.48	63.29	30.78	65.81	69.56	61.29	68.95	51.08	66.73	73.46	17.68	91.34	315.12	24.86	8.59	8.89	6.20	25.55	28.32	13.76	14.02	10.10	4.84	16.77	24.86	18.38	29.15	33.11	4.53	9.46	17.93	29.01	12.42	29.01	7.19	20.73	0.10	9.19	32.60	46.39	26.02	34.49
AFUB_062970	106.31	168.09	127.79	149.90	148.40	137.35	130.74	125.75	131.86	131.84	123.28	142.36	139.97	152.30	69.04	67.55	81.55	65.22	9.34	15.50	149.26	169.43	138.63	151.67	127.85	143.38	106.79	115.19	115.68	139.55	37.02	39.51	38.36	39.86	40.26	40.52	36.64	43.61	36.81	29.44	41.65	21.77	35.88	51.67	79.69	64.50	32.00	49.63	70.80	47.50	81.38	53.61	65.36	66.57	58.48	29.83	56.66	63.93	63.37	60.29	47.51	58.43	65.30	21.31	87.32	301.96	29.26	5.78	11.31	6.22	22.70	28.73	10.18	22.64	14.81	2.22	13.73	29.26	19.44	33.48	39.19	7.95	8.20	22.53	25.67	8.81	25.67	6.79	23.82	0.02	7.84	34.38	47.83	26.04	33.29
AFUB_062980	94.90	156.11	132.44	150.33	154.14	131.21	121.96	118.16	123.02	131.51	125.64	140.78	125.66	144.97	60.17	67.38	76.09	63.89	8.13	12.89	152.76	176.66	114.70	160.09	133.78	136.13	101.80	113.76	111.99	126.61	35.13	38.77	34.87	35.70	37.33	37.55	37.07	37.72	35.28	27.06	43.14	19.66	35.40	47.10	70.15	56.98	28.92	47.55	63.41	37.12	68.92	44.82	66.56	61.25	57.80	27.91	58.94	60.45	59.04	56.22	42.71	50.05	59.24	20.58	83.01	288.13	21.21	5.75	12.24	6.84	22.19	25.72	11.23	15.70	10.15	3.22	12.14	21.21	15.62	33.10	30.52	4.68	7.77	18.76	15.32	12.23	15.32	6.72	19.83	0.00	5.96	32.03	42.65	24.54	31.43
AFUB_062990	108.61	166.10	129.65	146.80	153.71	145.45	127.69	131.34	139.13	124.47	125.39	138.98	138.52	158.59	62.40	63.34	71.96	66.03	9.24	16.29	160.74	189.53	142.61	156.80	128.38	152.37	107.12	122.13	108.98	128.53	42.18	45.06	41.09	35.66	43.22	42.93	37.46	43.66	40.86	29.48	43.07	19.83	33.90	47.30	76.81	58.02	30.22	44.37	70.65	46.12	76.20	50.12	57.51	71.09	58.77	30.94	65.48	63.26	57.23	58.96	50.00	63.58	63.46	24.38	83.92	300.64	18.69	4.64	11.88	11.76	23.53	22.98	11.07	17.64	11.81	4.56	22.02	18.69	19.46	31.70	30.02	6.99	8.13	20.19	21.86	10.64	21.86	6.54	16.84	0.15	4.00	36.47	47.94	25.85	32.19
