GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_033860	113.63	171.88	139.01	0.06	169.84	146.20	150.01	143.63	157.99	151.99	142.45	156.48	163.99	167.57	56.11	65.40	75.89	56.09	9.19	13.36	151.24	184.97	138.71	162.29	145.63	148.48	112.94	126.73	131.46	149.14	29.82	31.08	30.98	29.08	31.15	35.70	24.00	35.30	30.96	22.90	35.71	16.39	28.67	43.23	62.36	59.31	25.08	44.40	64.96	40.87	74.72	43.67	56.14	55.37	59.90	24.81	34.43	62.84	57.88	54.38	44.35	52.85	57.84	15.12	65.12	263.75	16.75	7.84	12.78	8.85	21.36	21.03	18.36	15.92	9.95	6.73	23.44	16.75	18.87	34.39	35.05	7.73	11.72	17.87	27.84	11.25	27.84	7.75	15.05	6.32	27.94	36.20	19.80	26.28
AFUB_033870	109.63	167.67	130.94	0.00	165.61	145.53	149.40	149.88	155.60	163.47	145.88	163.93	36.91	169.10	54.01	8.98	12.53	52.82	7.50	11.16	142.52	181.88	128.05	165.31	133.31	150.18	116.36	107.36	118.18	150.32	5.24	4.76	4.14	24.46	5.43	5.10	3.60	6.36	4.78	4.18	7.33	2.70	27.06	39.20	10.09	56.15	21.76	46.46	65.00	45.06	14.21	46.83	61.46	13.01	58.67	24.07	56.19	57.67	55.87	10.11	9.48	7.95	57.99	2.43	64.28	254.68	13.46	1.17	8.58	7.65	19.03	21.34	12.73	13.07	9.87	5.07	21.42	13.46	16.84	27.31	34.51	6.09	8.10	17.31	2.68	2.31	2.68	0.91	4.20	6.05	24.81	33.02	16.41	23.26
AFUB_033880	118.71	163.82	146.70	160.93	156.01	153.86	139.63	133.36	155.81	154.30	145.13	169.81	162.59	176.98	56.99	66.03	77.16	56.90	9.83	14.55	150.83	188.58	132.10	166.11	148.03	163.02	113.20	125.53	132.55	147.76	27.70	33.08	33.70	27.41	28.84	32.39	28.58	31.30	30.06	24.13	36.90	16.52	31.11	41.36	64.16	55.95	22.09	45.02	50.97	36.81	66.86	43.50	49.92	49.87	56.88	24.77	51.74	59.42	54.15	50.98	45.05	53.12	58.46	20.29	58.23	246.68	14.23	5.43	16.16	10.11	16.04	13.78	13.08	16.42	10.54	8.22	18.21	14.23	10.70	30.87	26.90	6.36	4.65	17.59	21.18	9.90	21.18	2.99	17.52	7.31	27.68	34.87	15.96	22.12
AFUB_033890	108.56	161.34	132.06	148.28	148.18	133.39	140.05	141.54	143.58	147.06	134.48	159.28	150.31	157.91	57.55	56.23	67.96	58.75	7.31	11.00	143.44	174.03	121.14	160.17	140.78	141.51	97.72	122.56	117.15	142.03	23.33	25.28	24.54	24.38	27.49	29.39	22.21	29.22	24.91	19.14	33.89	13.72	27.00	38.25	60.35	50.55	23.88	43.34	59.19	37.92	68.27	40.36	50.10	53.87	48.05	23.18	52.88	56.91	47.75	52.61	40.79	47.16	50.06	13.68	63.98	244.14	21.11	7.74	9.93	9.98	24.39	26.60	10.84	15.38	12.21	3.21	12.67	21.11	15.18	19.44	21.44	4.91	9.08	9.06	17.23	9.27	17.23	7.68	15.25	5.98	20.83	31.08	16.00	21.57
AFUB_033900	128.32	193.76	160.36	182.25	192.56	163.60	165.92	152.71	165.81	178.52	158.14	179.96	179.89	195.59	62.53	62.28	72.22	77.84	7.76	15.26	170.53	206.37	174.99	173.67	165.62	166.90	119.17	140.88	143.88	159.27	41.34	41.26	37.51	37.71	42.17	45.11	36.31	44.61	39.57	32.10	43.05	20.27	38.22	42.16	78.78	66.68	29.03	48.62	68.64	44.17	78.98	50.15	55.01	63.43	55.77	29.54	54.32	62.30	66.75	54.05	42.42	51.75	65.02	17.03	75.44	256.82	13.81	3.09	15.19	8.93	19.97	21.29	12.64	14.03	12.00	3.91	13.12	13.81	18.70	35.63	28.84	6.91	6.80	18.97	19.04	10.19	19.04	4.94	18.73	8.87	38.43	45.06	27.85	32.94
AFUB_033910	113.18	183.05	143.91	169.03	162.32	161.82	162.09	148.14	150.66	160.02	143.43	172.86	162.13	169.11	56.54	60.27	69.00	59.09	8.51	12.78	153.45	198.23	138.29	170.06	139.87	158.08	117.14	122.59	128.54	147.97	33.43	29.74	29.58	30.19	33.28	33.12	25.70	35.96	29.12	23.03	36.44	19.17	31.88	47.31	74.68	56.87	25.34	41.55	68.74	46.20	78.59	44.76	60.86	56.09	59.83	25.25	50.83	60.99	56.01	49.20	45.59	58.53	60.12	13.82	72.96	273.21	19.63	3.93	13.26	6.19	22.33	20.97	10.96	14.81	10.51	6.46	15.73	19.63	14.92	32.17	29.97	4.71	9.40	17.15	27.40	7.28	27.40	7.31	24.79	7.05	25.93	41.58	23.07	30.33
AFUB_033920	120.89	176.83	155.28	178.93	175.61	161.38	153.23	150.06	160.14	155.24	152.53	180.69	163.28	181.94	58.84	62.54	69.76	55.18	8.07	12.84	163.08	203.77	147.10	158.65	146.44	153.84	103.41	127.45	131.33	163.99	30.04	29.64	31.18	29.20	29.39	32.72	29.35	33.17	30.46	23.04	34.92	18.78	29.06	39.32	68.18	52.77	26.28	40.34	65.42	41.71	63.83	41.81	56.00	54.71	57.31	24.95	55.11	56.91	57.44	51.42	42.86	49.39	56.87	12.72	67.91	251.04	14.93	4.70	12.24	10.00	22.38	21.05	12.24	12.75	10.32	4.49	15.09	14.93	13.09	31.89	31.78	5.54	7.59	23.78	17.16	7.73	17.16	6.25	23.33	7.46	27.75	34.46	21.39	26.29
AFUB_033930	117.99	174.62	142.32	159.90	160.60	142.60	149.42	137.26	146.10	147.69	140.07	161.58	145.24	165.51	56.60	58.53	69.18	46.54	8.31	12.38	140.90	175.52	119.77	152.41	137.00	145.24	106.85	117.30	117.98	140.66	27.61	29.44	28.91	29.46	30.81	35.90	27.77	33.19	26.85	22.99	34.64	15.30	31.11	42.15	64.82	51.73	26.92	45.37	58.13	37.01	64.84	42.71	54.76	54.45	55.77	25.34	34.81	56.48	52.40	48.41	42.59	47.23	55.38	10.50	63.85	253.81	22.33	6.67	9.66	9.31	24.73	24.83	11.11	15.40	11.34	4.91	14.46	22.33	17.97	27.24	28.48	6.36	6.59	17.25	25.52	7.94	25.52	6.53	22.08	6.61	29.91	39.64	21.40	25.08
AFUB_033940	127.27	167.12	143.57	161.88	182.12	148.39	158.57	148.74	156.45	161.37	141.38	167.75	159.91	185.49	61.15	63.98	78.38	51.11	8.64	14.36	152.36	186.10	123.81	166.85	137.32	151.47	108.62	124.62	132.20	160.40	25.44	25.68	25.87	25.29	31.65	28.96	25.31	28.74	26.96	20.97	32.92	16.01	31.54	39.99	64.77	48.82	25.99	48.33	59.33	40.64	77.69	45.60	56.45	53.95	60.21	24.68	33.74	61.16	56.64	48.03	38.93	54.70	55.80	9.18	70.19	263.56	20.30	10.60	10.63	9.27	28.27	28.34	12.95	14.65	11.81	2.76	13.88	20.30	20.73	23.08	22.63	8.42	8.65	15.46	22.31	12.77	22.31	8.39	23.64	8.90	22.98	30.43	17.14	26.68
AFUB_033950	119.05	176.10	154.65	165.42	178.89	152.35	160.53	150.23	155.54	153.19	142.20	170.93	160.96	175.29	58.29	64.38	77.88	44.48	9.66	13.32	148.02	186.44	114.62	156.51	139.63	151.50	109.43	129.48	124.25	147.63	23.23	24.52	22.44	24.04	27.18	29.36	22.42	27.23	23.94	18.44	30.63	14.69	30.60	41.27	69.52	52.73	25.00	45.04	63.22	40.54	72.10	43.58	58.47	56.53	59.53	24.64	35.33	59.35	54.97	50.17	44.84	51.28	57.35	11.48	64.68	258.85	22.50	10.10	11.06	10.17	22.85	32.98	13.44	14.23	9.61	4.31	18.44	22.50	19.74	27.51	29.65	7.08	9.45	14.23	25.52	10.50	25.52	7.78	16.62	8.86	20.43	29.35	13.93	24.91
