GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_102200	0.0000	0.0021	0.2827	0.2595	0.2408	0.0000	0.0288	0.8770	0.3308	0.5123	0.0000	0.0000	0.5833	0.5517	0.4913	0.0000	0.0000	0.4554	0.0000	0.0000	0.0000	0.5364	0.0000	0.0000	0.0006	0.0000	0.0000	0.1274	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.4760	0.4937	0.5299	0.4677	0.5077	0.3587	0.2940	0.0000	0.4340	0.2968	0.2650	0.6237	0.3189	0.0000	0.3164	0.2307	0.0000	0.2168	0.5110	0.2180	0.2229	0.0000	0.0000	0.0000	0.0000	0.2306	0.3464	0.5916	0.0003	0.3034	0.3761	0.0000	0.0000	0.0000	0.1997	0.2776	0.4594	0.4240	0.2089	0.2874	0.3034	1.0454	1.1407	1.0909	0.4529	1.0812	1.1550	0.0000	0.3628	0.0000	0.5460	0.0000	0.0000	0.0128	0.3300	0.4850	0.0260	0.0000
AFUB_102210	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	1.0420	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9654	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1639	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0046	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9343	0.0000	0.0000	0.8903	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9960	0.6960	0.8731	1.2132	1.1342	0.9394	0.0000	1.0616	0.0000	0.9192	0.0000	0.0000	0.0000	0.0000	0.7579	0.0250	0.0000
AFUB_102220	0.0000	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	1.4498	0.5604	0.0000	0.0000	0.0000	0.5652	0.0019	0.8924	0.0000	0.0000	0.7042	0.0000	0.0000	0.0000	0.5681	0.0000	0.0000	0.0000	0.0000	0.0000	0.2085	0.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7120	0.7568	0.0000	0.9281	0.6457	0.7800	0.0000	0.7796	0.0000	0.6801	0.0000	0.0000	0.0000	0.0000	0.0000	0.7878	0.0000	0.0058	0.0000	0.0000	0.7634	0.0000	1.1070	0.0000	0.0000	1.0826	0.0000	0.0000	0.0000	0.5874	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6469	1.7600	1.4925	1.1603	1.4656	1.5709	0.0000	1.0805	0.0000	0.7006	0.0000	0.0000	0.0000	0.6098	0.8771	0.0432	0.0000
AFUB_102230	0.0000	0.0000	0.0005	0.0000	0.0000	0.0022	0.0885	0.9683	0.0207	0.0127	0.0000	0.0000	0.0220	0.0000	0.9612	0.0000	0.0000	0.0163	0.0000	0.0000	0.0043	0.0158	0.0000	0.0000	0.0000	0.0000	0.0001	0.1915	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0362	0.0317	0.0311	0.0298	0.0404	0.0233	0.0151	0.0003	1.0141	0.0210	0.0262	0.0071	0.0232	0.0000	0.0372	0.0026	0.0000	0.0026	0.0268	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0035	0.0114	1.1091	0.0084	0.8593	0.6597	0.0000	0.0000	0.0000	0.0045	0.7002	1.0690	0.7535	0.6460	0.6087	0.8593	0.8804	0.9574	0.9415	1.4779	0.7993	1.0791	0.0000	0.7435	0.0000	0.6379	0.0000	0.0000	0.0000	0.0229	1.0947	0.0182	0.0000
