GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_100610	125.12	182.66	164.74	168.78	185.52	157.03	170.04	161.61	169.00	165.76	152.22	182.04	172.83	184.29	63.78	75.94	76.09	59.70	9.95	15.02	158.12	202.97	148.03	173.27	149.40	164.05	121.60	131.17	137.53	158.41	27.18	32.87	29.65	0.17	30.96	35.84	27.50	33.26	28.14	22.28	33.28	18.15	33.06	45.49	74.61	62.76	26.42	50.16	65.27	42.87	80.69	46.59	62.45	62.40	63.12	26.50	58.78	60.10	62.52	60.47	44.96	53.78	60.84	17.30	74.88	265.71	20.68	8.50	10.41	9.04	25.95	22.89	13.06	14.27	9.26	4.52	16.80	20.68	19.42	30.37	30.31	7.11	9.68	14.72	24.20	8.85	24.20	5.86	17.44	5.59	30.14	38.36	22.55	30.91
AFUB_100620	116.64	170.88	147.42	165.70	173.38	152.24	152.51	147.58	164.17	155.02	139.18	168.15	150.72	175.89	57.48	59.17	73.11	43.06	9.84	12.35	145.63	188.16	116.29	152.63	137.04	146.31	109.94	128.39	121.00	144.99	21.86	22.44	22.79	11.41	23.64	26.99	20.72	26.52	21.03	16.70	27.71	12.18	27.23	45.23	60.97	59.99	22.57	45.29	59.23	39.17	68.27	39.93	56.80	53.48	55.76	20.98	42.75	60.64	51.59	45.09	41.40	53.45	57.33	15.35	59.61	235.31	19.74	9.25	7.85	9.12	23.37	29.76	11.48	13.54	9.22	4.39	18.16	19.74	16.79	26.88	25.81	7.26	9.97	13.36	26.72	5.85	26.72	8.46	20.39	5.62	20.41	27.22	13.80	24.61
AFUB_100630	125.81	177.20	160.87	176.21	183.41	151.92	163.87	148.17	162.77	162.45	153.67	173.57	161.18	178.77	56.80	68.94	74.44	50.75	9.80	14.42	156.61	185.13	128.27	167.68	145.29	161.73	114.37	133.89	126.35	150.83	25.86	27.97	25.95	25.22	29.38	32.78	25.99	31.77	27.69	22.27	32.88	15.33	30.68	47.13	65.81	53.56	26.26	47.85	67.06	42.01	77.98	42.38	56.51	59.76	55.78	24.15	49.57	65.44	56.56	56.16	47.04	52.21	64.42	16.68	68.68	246.24	21.84	8.59	11.63	9.31	26.16	29.25	10.55	14.26	10.23	5.23	16.05	21.84	15.52	32.99	28.02	6.49	8.41	16.11	21.94	13.82	21.94	6.82	22.80	7.46	27.30	33.13	17.54	26.63
AFUB_100640	135.42	196.59	167.83	185.02	202.06	180.89	175.84	169.70	169.73	178.79	154.40	186.59	180.40	193.56	64.75	81.30	66.41	71.68	9.60	16.31	167.36	218.08	166.74	184.80	165.91	164.07	122.37	152.86	140.53	161.16	41.45	45.27	36.67	36.60	44.19	44.94	41.18	41.51	40.94	35.25	43.49	17.72	36.65	44.64	69.50	58.92	30.75	52.06	78.88	44.52	80.56	55.45	58.43	63.91	53.44	32.03	57.98	62.54	64.28	63.12	42.90	53.37	65.91	21.88	71.88	272.09	19.06	9.03	13.22	8.87	20.36	22.89	12.05	12.03	12.11	8.14	19.99	19.06	19.85	43.17	23.52	9.64	11.45	24.96	24.03	13.14	24.03	6.93	16.39	6.50	36.79	54.13	29.28	35.59
AFUB_100650	134.52	189.01	163.61	178.79	181.72	167.37	167.04	152.84	170.99	170.57	148.02	179.84	167.72	190.90	62.33	63.59	72.53	67.18	9.95	14.85	160.83	193.78	132.52	173.51	151.43	168.03	121.13	134.78	134.03	155.26	31.29	32.67	29.39	29.00	30.82	37.92	32.07	30.25	30.22	26.56	38.91	17.10	32.17	46.91	77.75	58.79	29.49	49.94	72.12	42.84	76.23	43.57	59.89	60.05	62.37	27.55	59.68	64.07	57.95	61.71	48.52	54.35	62.27	24.16	70.87	286.11	21.17	7.09	7.37	7.87	20.22	33.20	9.25	14.39	12.53	2.94	13.92	21.17	15.97	22.57	25.85	5.22	9.55	13.89	17.12	8.47	17.12	5.91	18.95	4.77	32.14	40.73	20.80	31.67
AFUB_100660	121.58	183.13	159.47	176.80	192.67	160.65	169.57	154.67	167.25	170.57	163.20	197.99	174.76	190.43	59.60	62.56	69.07	67.15	8.67	16.01	159.73	214.21	165.10	177.11	157.67	164.36	115.46	140.45	135.31	163.43	34.38	38.63	39.46	36.44	36.75	42.19	33.61	36.46	35.86	30.76	42.32	21.10	34.57	47.08	70.36	55.73	30.64	49.66	69.29	47.57	71.61	46.01	61.69	62.85	61.33	29.07	68.48	62.43	58.87	54.37	43.99	47.61	62.89	25.22	72.94	277.20	19.46	7.79	11.36	6.64	19.15	32.10	10.21	13.63	10.42	4.29	16.28	19.46	18.22	30.40	27.99	5.08	9.05	14.89	25.06	11.46	25.06	6.72	17.49	8.27	38.99	47.33	27.50	35.46
AFUB_100670	117.97	170.02	152.17	160.61	172.33	147.86	148.00	141.21	150.86	157.58	140.47	156.90	152.48	174.73	61.92	69.10	76.98	61.12	11.02	14.55	149.06	186.43	128.64	158.36	137.80	150.12	110.05	125.00	127.96	142.38	30.31	31.10	30.35	30.39	30.99	36.39	26.97	33.31	29.91	23.91	33.18	17.01	32.31	41.38	70.38	59.53	26.21	40.95	67.59	43.69	73.07	45.49	60.72	60.03	61.12	26.85	52.04	62.34	59.21	54.24	45.43	59.05	63.51	17.43	69.02	259.76	18.00	8.05	9.53	7.80	26.83	30.48	14.96	15.96	11.02	4.89	20.80	18.00	18.85	31.17	31.59	7.35	8.62	15.94	24.52	11.08	24.52	7.69	20.34	6.41	27.55	38.44	18.08	28.35
AFUB_100680	120.25	172.51	158.89	163.25	170.41	158.11	159.36	154.96	158.56	174.43	152.84	168.80	170.93	180.55	62.85	74.29	79.29	65.24	8.82	14.81	154.58	200.18	144.59	171.59	143.53	156.26	120.47	140.45	126.02	161.20	30.18	31.28	31.39	28.10	31.62	34.00	25.46	33.35	30.18	23.05	34.86	18.13	34.67	45.53	82.04	58.91	28.23	52.75	67.60	47.34	82.00	47.17	58.98	59.84	62.84	28.22	63.97	72.77	64.28	63.00	50.79	51.45	61.80	18.73	74.22	0.07	24.87	8.39	10.14	8.63	19.62	29.20	8.38	14.83	12.79	3.77	15.87	24.87	18.15	31.66	33.07	6.60	7.51	21.00	22.65	10.10	22.65	7.64	24.14	9.37	29.82	37.81	20.64	26.30
AFUB_100690	114.46	167.14	151.67	163.82	172.43	142.32	150.86	139.20	151.34	154.08	136.27	158.82	155.15	170.74	60.93	64.00	72.46	62.33	9.53	15.29	146.12	182.05	125.64	157.49	136.31	140.21	110.50	124.23	119.40	143.32	30.52	31.26	29.69	28.69	32.85	34.62	30.69	35.32	31.21	23.15	34.56	16.62	32.86	42.50	69.91	53.00	27.49	47.39	66.50	42.20	75.44	45.83	58.73	58.87	58.63	27.95	59.52	57.96	53.74	58.45	44.60	52.61	58.96	18.93	68.87	130.86	25.77	9.71	11.74	7.44	25.87	30.26	11.57	15.08	10.83	3.27	16.64	25.77	18.66	29.76	27.62	6.26	7.09	14.77	23.80	11.93	23.80	6.92	25.24	7.06	27.48	37.64	18.31	28.38
AFUB_100700	121.86	191.93	174.91	178.63	183.20	159.58	174.25	150.10	164.26	171.08	160.84	168.79	179.97	182.47	59.36	63.20	71.59	71.60	9.77	15.93	161.50	217.17	192.36	175.52	159.84	178.52	118.29	137.37	137.73	161.78	37.45	41.04	39.98	37.36	36.15	42.03	35.36	42.36	33.41	29.07	41.75	16.83	38.98	43.87	67.98	64.47	29.39	37.88	70.74	41.73	68.03	39.09	59.96	59.41	55.92	27.68	69.89	65.57	59.60	65.82	36.79	52.18	59.50	25.50	71.25	271.84	20.81	4.14	13.81	7.43	18.95	27.08	14.56	13.82	13.70	4.69	16.51	20.81	18.36	32.81	30.27	3.13	6.39	19.08	23.11	6.27	23.11	4.01	26.51	8.63	39.15	40.20	29.18	33.54
