GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_093040	117.35	167.21	144.76	162.11	178.71	147.14	156.58	146.00	154.53	148.70	157.31	169.15	156.09	171.29	68.88	68.06	87.10	59.38	9.19	13.66	148.16	197.13	130.64	166.93	145.56	153.38	115.15	123.05	129.66	153.27	36.23	33.17	32.28	32.42	34.57	35.15	32.35	39.09	34.77	27.43	39.93	18.72	33.84	48.94	73.18	63.94	26.66	48.29	72.25	49.12	82.16	50.60	63.85	63.29	66.69	26.39	60.73	64.26	55.30	69.19	52.22	65.53	74.27	16.91	88.64	293.80	29.00	6.75	15.95	7.36	22.65	28.08	12.33	16.09	12.69	4.25	19.06	29.00	18.98	33.61	29.83	6.19	9.04	13.74	24.14	6.53	24.14	9.81	15.04	8.07	30.77	42.07	23.39	29.07
AFUB_093050	110.59	176.29	151.51	161.48	173.92	164.35	155.73	147.42	155.53	163.72	153.13	166.43	166.34	163.36	70.55	78.46	76.31	75.06	8.95	16.36	158.87	188.90	129.85	171.36	139.04	157.35	109.57	129.04	133.27	149.77	38.89	39.02	39.40	36.85	38.21	43.41	36.00	41.48	39.50	30.27	45.24	20.45	36.81	49.95	64.97	64.87	33.50	51.68	76.07	44.57	77.28	51.39	67.91	62.61	68.68	26.65	59.66	67.04	63.89	55.00	47.31	55.72	60.76	20.08	88.66	292.11	27.70	8.06	8.96	7.47	31.03	28.29	11.61	16.13	10.08	4.35	16.58	27.70	17.69	28.70	29.71	4.65	9.60	17.26	22.42	8.15	22.42	6.16	21.41	3.72	34.90	46.49	24.61	31.07
AFUB_093060	107.44	168.85	138.91	157.82	165.94	143.57	146.65	133.98	150.02	146.17	139.34	157.13	153.29	165.31	69.75	63.06	75.68	64.47	9.83	16.57	154.43	183.45	134.02	162.42	139.28	141.50	104.31	123.49	118.67	137.04	35.32	36.84	38.20	36.02	36.32	40.86	33.99	41.41	36.31	27.97	41.98	19.43	32.43	49.29	74.82	58.76	29.71	45.08	68.36	43.53	76.17	46.16	57.71	58.73	59.23	26.77	57.79	58.86	58.76	59.86	44.10	54.43	62.57	19.71	81.86	281.24	21.39	9.00	10.92	9.71	26.98	25.66	14.31	17.28	12.03	4.84	16.25	21.39	17.50	29.09	32.06	6.05	11.40	16.68	20.96	10.51	20.96	8.35	21.15	7.76	31.69	43.94	21.65	30.88
AFUB_093070	121.09	161.46	142.73	147.26	159.69	149.09	145.99	130.32	149.57	147.02	138.97	156.67	156.22	172.86	59.35	65.79	79.37	62.07	7.20	14.20	145.87	195.33	126.45	157.83	132.76	152.27	105.82	123.35	121.80	143.32	34.31	35.51	35.43	34.23	36.47	35.78	33.10	38.52	33.14	23.71	36.81	17.12	34.16	44.33	70.05	60.37	28.80	45.15	73.62	43.55	75.05	52.69	58.57	58.79	61.68	28.66	65.28	59.06	57.62	56.21	46.11	53.71	60.26	18.79	81.12	287.14	24.06	7.82	12.59	7.47	22.32	27.13	10.03	18.55	9.70	4.26	15.51	24.06	14.46	32.18	29.47	6.09	10.27	17.06	23.99	8.17	23.99	7.18	21.79	8.93	23.09	35.62	18.12	25.65
AFUB_093080	107.73	166.82	136.89	145.17	152.59	138.97	154.87	136.02	148.49	130.73	144.27	156.98	145.41	158.51	64.82	49.49	66.53	59.98	8.95	15.65	145.45	203.21	124.53	159.29	128.79	138.64	109.75	120.64	111.50	149.82	33.67	31.58	35.05	31.49	34.49	33.07	32.31	35.73	31.72	28.87	37.74	18.23	33.07	42.60	69.77	55.85	32.35	42.39	60.67	39.97	74.26	50.30	50.14	51.25	53.81	25.18	59.83	61.42	50.75	57.06	43.17	53.17	59.34	18.67	81.06	257.86	16.78	9.05	11.56	3.90	19.77	32.01	11.98	13.04	14.45	5.67	20.91	16.78	18.71	36.73	33.39	4.77	6.93	29.47	18.10	11.06	18.10	9.60	20.60	9.30	29.39	38.97	17.29	28.10
AFUB_093090	112.65	165.95	142.34	159.65	165.72	153.08	151.44	134.39	152.86	159.94	144.07	161.95	156.39	176.02	59.78	63.66	69.20	69.00	9.21	14.22	152.45	192.61	130.33	163.19	142.73	143.20	108.25	129.46	121.79	147.45	33.60	31.96	32.79	33.72	37.38	36.90	33.00	38.86	34.97	26.30	39.68	18.71	32.26	49.78	69.06	54.77	30.62	51.53	75.33	46.14	72.95	50.55	60.82	61.56	59.24	26.18	71.92	65.47	55.75	58.20	47.31	52.26	58.76	20.98	82.59	296.14	31.54	6.32	9.55	6.23	25.87	29.07	8.18	23.81	13.45	5.10	14.00	31.54	15.60	37.20	39.29	5.91	7.98	25.42	23.31	10.54	23.31	7.46	28.97	8.24	28.96	41.05	18.91	28.04
AFUB_093100	117.51	175.67	147.46	165.47	151.43	150.03	152.23	141.16	152.08	154.38	140.11	159.74	148.54	169.05	64.53	64.48	72.62	68.97	7.90	14.09	150.48	190.10	144.46	165.29	137.56	150.90	109.68	119.66	120.97	148.67	44.91	39.64	43.11	40.11	40.00	43.18	39.36	46.08	39.31	29.51	42.41	21.32	32.25	50.03	70.52	64.72	29.09	50.02	69.88	45.03	76.39	53.48	66.17	62.30	55.81	32.47	71.17	62.54	59.45	62.09	45.05	53.86	64.75	20.80	81.90	286.27	22.67	2.44	14.53	7.03	24.91	30.21	8.92	18.03	12.00	3.04	10.83	22.67	15.89	30.23	28.08	6.19	7.55	24.22	27.26	9.09	27.26	4.84	21.93	10.42	36.95	48.09	27.68	30.29
AFUB_093110	108.79	174.32	142.32	147.57	162.60	145.52	144.63	136.86	145.72	153.51	136.05	160.98	161.67	169.36	67.07	70.53	76.36	62.71	10.30	16.01	158.27	190.52	131.43	164.99	135.57	145.76	110.46	123.11	126.40	146.73	38.25	37.02	34.87	36.03	41.24	37.74	33.11	39.14	35.87	26.90	41.63	15.68	32.30	52.13	74.19	60.80	32.41	46.87	68.47	50.03	80.36	51.92	61.17	65.77	62.49	28.85	66.52	70.24	58.38	63.75	45.84	57.37	59.46	21.19	88.69	297.31	24.84	6.98	10.27	8.78	24.04	30.92	13.52	16.72	11.40	5.96	25.60	24.84	14.95	33.80	33.92	7.22	9.81	21.73	26.53	15.04	26.53	5.56	15.98	9.45	29.98	41.95	26.94	33.05
AFUB_093120	112.02	165.17	133.06	151.23	161.88	140.89	147.14	130.55	139.28	148.92	140.36	159.42	156.96	162.59	65.34	60.56	76.98	60.70	9.03	15.93	155.32	183.93	127.13	163.66	137.75	152.28	111.90	123.94	121.38	134.33	34.41	34.79	35.01	34.90	34.80	37.19	33.50	39.33	34.41	26.42	38.67	19.04	33.88	48.67	66.60	59.12	29.71	48.98	68.09	41.58	69.72	48.43	59.11	59.35	60.24	29.17	57.36	58.10	59.77	58.50	44.14	60.56	55.83	20.12	76.42	285.94	27.84	5.83	14.39	10.78	21.97	26.61	10.90	17.90	12.26	5.04	14.35	27.84	18.98	29.61	29.16	6.60	8.70	21.14	22.78	11.52	22.78	8.32	18.57	8.40	33.25	42.94	23.87	30.13
AFUB_093130	109.56	162.27	139.11	152.32	160.84	141.85	142.60	135.18	140.20	147.54	132.91	158.89	145.37	161.57	65.26	65.40	77.65	55.43	9.37	15.75	153.90	180.18	115.35	157.42	136.47	145.16	102.35	121.96	118.71	141.81	29.94	33.37	29.59	30.51	32.11	34.44	29.43	35.00	31.61	24.63	36.42	18.50	32.72	48.02	70.45	60.35	29.01	48.01	66.97	42.64	75.80	48.12	60.46	60.12	59.81	26.43	50.75	64.67	55.63	56.56	44.80	56.41	66.17	16.80	82.65	291.94	22.00	8.47	9.87	9.43	22.35	32.06	14.08	17.24	9.80	4.36	19.72	22.00	15.98	29.43	32.26	7.60	7.36	15.26	21.80	11.79	21.80	9.49	21.26	7.93	27.86	38.30	20.11	27.35
AFUB_093140	110.70	175.06	136.54	150.14	165.80	141.97	133.04	127.55	133.10	146.01	132.79	142.24	153.91	160.10	58.29	63.65	73.78	63.11	9.04	16.07	150.06	181.39	124.41	148.61	124.96	135.65	101.92	119.37	108.74	136.91	37.13	37.08	39.98	36.01	37.44	39.35	33.13	43.76	36.04	27.27	43.68	17.77	33.33	45.91	69.18	55.55	30.65	46.18	63.47	42.12	78.75	43.08	61.95	61.30	51.07	27.48	59.82	62.71	60.41	57.14	46.38	53.18	59.58	17.06	78.90	276.47	23.20	5.18	10.24	8.17	21.85	29.58	9.21	17.31	11.06	6.38	12.12	23.20	15.50	36.96	32.42	6.02	9.39	23.67	23.15	7.05	23.15	6.01	20.92	9.70	33.10	43.45	23.16	29.80
AFUB_093150	108.11	163.80	134.27	153.27	154.83	144.37	143.46	133.98	146.53	146.50	136.18	155.14	153.32	168.31	71.16	66.69	78.72	60.96	8.82	15.11	155.26	181.59	134.36	164.19	134.98	148.13	107.66	122.77	121.48	139.92	35.12	38.37	36.29	34.80	38.44	39.42	33.87	41.65	35.78	26.63	41.17	19.06	34.47	46.37	74.41	58.58	31.12	49.83	70.85	44.38	74.79	50.46	63.48	61.26	64.13	29.59	56.48	61.81	58.19	56.84	48.26	58.55	59.50	19.13	86.36	295.08	23.35	8.28	14.39	8.63	24.87	28.38	13.96	18.42	13.34	4.67	18.06	23.35	15.45	33.37	32.38	7.36	7.33	18.77	23.98	11.58	23.98	7.50	23.07	8.52	30.38	42.05	22.76	29.36
AFUB_093160	114.08	165.69	134.77	152.48	157.27	141.80	145.79	130.32	148.42	140.21	130.44	152.65	141.43	158.29	66.89	63.38	73.16	61.95	8.44	14.91	157.19	183.41	130.78	161.09	130.46	150.35	104.73	120.21	120.73	137.96	37.10	36.81	39.29	36.75	36.36	38.69	34.27	42.10	35.22	27.99	42.85	19.79	33.23	46.19	69.06	60.59	28.49	47.88	67.93	41.52	74.11	44.57	58.92	60.14	58.83	27.09	56.65	60.80	56.37	57.58	47.23	56.59	60.89	16.74	81.80	280.43	26.34	5.46	10.79	8.39	21.74	28.04	12.46	19.02	11.92	5.32	12.08	26.34	15.16	34.25	28.41	5.69	8.57	19.53	21.81	8.79	21.81	7.37	20.61	7.00	32.78	45.26	22.32	30.88
AFUB_093170	112.70	169.38	141.58	157.37	163.77	154.18	145.82	135.88	155.56	148.23	140.10	158.57	154.42	168.92	65.46	68.66	79.09	64.09	8.87	16.15	159.99	191.64	136.05	164.85	140.30	152.22	113.84	124.34	128.96	145.65	36.46	35.83	36.09	32.76	37.41	36.42	33.04	41.04	34.55	25.81	39.75	19.99	32.71	47.54	72.05	60.81	31.10	50.51	73.76	42.17	79.42	48.60	61.41	63.87	58.92	27.44	68.59	65.71	57.96	57.52	49.18	61.46	64.47	20.86	87.23	293.12	22.53	8.02	12.54	8.44	25.18	26.78	11.40	18.55	10.21	4.90	17.52	22.53	18.18	34.25	31.66	8.09	6.84	18.09	23.85	9.11	23.85	8.31	20.17	7.88	32.33	43.21	22.87	32.14
AFUB_093180	122.26	184.60	151.53	160.47	178.34	157.41	157.01	147.36	156.09	156.23	144.15	172.70	165.29	183.05	66.53	71.67	77.84	75.94	9.05	17.06	162.25	205.25	159.75	171.52	150.63	154.57	121.42	125.11	137.74	150.88	43.05	43.43	46.94	40.13	44.86	43.06	41.25	47.16	40.50	31.89	47.16	22.03	37.59	49.02	74.75	65.29	33.18	50.05	73.43	44.40	76.46	48.06	63.68	62.46	64.04	29.80	69.70	67.66	61.76	59.85	47.51	58.95	66.33	23.35	86.71	298.01	26.48	6.89	12.05	6.86	22.97	31.17	13.44	17.75	10.68	5.20	15.26	26.48	20.72	38.84	37.08	8.03	9.08	23.86	23.12	10.57	23.12	6.46	19.29	9.77	38.42	52.04	27.94	36.51
AFUB_093190	121.57	166.47	141.87	156.97	159.05	154.80	141.70	135.81	150.03	149.40	140.17	167.00	153.44	170.09	63.13	66.47	76.06	61.07	8.54	15.96	152.31	184.60	130.91	161.60	136.80	153.00	104.39	124.01	128.94	139.86	33.98	34.39	34.89	34.52	36.67	37.49	33.08	39.70	34.71	24.53	39.42	19.40	33.36	48.29	68.25	58.33	29.90	49.19	69.32	40.77	74.45	49.39	57.70	58.26	57.21	28.42	60.88	63.46	58.15	55.65	42.97	60.52	68.19	19.78	79.93	287.17	27.42	8.84	10.85	10.76	25.60	32.89	13.06	16.73	12.43	5.00	15.91	27.42	15.75	27.82	29.53	8.54	7.18	14.45	23.69	9.76	23.69	8.11	19.66	7.58	28.60	40.32	20.55	28.70
AFUB_093200	117.77	181.81	141.57	156.09	171.48	148.42	162.06	143.93	147.52	161.59	147.59	176.09	167.09	178.04	68.26	65.27	76.75	65.92	8.70	14.97	159.22	194.24	121.51	166.67	139.88	151.86	111.59	131.95	123.71	151.46	33.37	35.70	32.50	33.35	39.15	39.20	36.80	42.63	36.36	25.04	43.62	19.30	36.65	52.02	76.39	61.02	31.22	48.74	70.82	45.96	75.33	45.63	57.35	62.07	60.87	30.17	58.84	67.21	61.40	58.91	50.17	58.27	64.76	21.08	86.21	311.80	20.07	12.12	12.39	8.88	23.75	34.41	14.37	18.88	12.00	5.48	19.78	20.07	13.57	41.56	38.55	7.85	10.43	24.87	20.44	13.46	20.44	6.50	14.81	7.78	33.75	48.46	23.33	33.50
AFUB_093210	119.32	182.43	155.50	163.58	175.49	156.48	151.19	140.33	151.41	158.99	140.12	171.58	163.29	174.67	68.16	66.11	77.69	57.03	8.94	16.31	159.65	195.08	132.90	165.28	142.93	158.25	110.19	131.54	129.52	153.06	34.30	35.11	36.37	35.35	38.25	40.60	34.52	39.99	33.90	23.72	38.70	19.49	34.73	48.94	66.48	60.29	31.98	50.36	73.36	41.94	72.22	42.46	60.49	58.12	61.07	28.75	60.94	65.01	63.25	52.87	44.57	61.16	64.70	14.30	81.08	285.08	25.17	7.56	13.19	8.82	30.36	31.91	14.13	19.33	10.63	6.02	13.88	25.17	17.23	41.28	38.58	7.82	8.08	27.23	23.20	7.95	23.20	8.48	27.76	10.28	29.56	38.31	22.93	27.04
AFUB_093220	128.91	175.36	151.80	162.49	177.25	159.66	159.45	142.58	159.03	159.57	152.78	177.80	163.26	182.46	71.36	68.57	77.75	66.61	8.62	15.39	158.70	192.89	142.25	173.21	143.79	144.75	114.46	126.80	124.32	144.78	38.29	37.62	44.81	36.22	39.58	40.41	36.29	43.30	41.21	29.72	45.30	20.88	35.34	45.16	68.56	56.15	31.52	47.95	71.52	41.35	72.38	47.37	61.82	60.70	56.25	29.45	59.69	63.13	59.46	57.22	44.39	60.15	60.95	20.14	82.19	289.05	22.69	8.28	12.48	9.04	27.94	36.10	16.23	17.03	14.44	4.58	15.32	22.69	18.81	34.36	38.19	7.63	6.89	24.25	29.33	7.12	29.33	8.39	20.34	9.59	34.53	48.30	24.28	33.48
AFUB_093230	114.84	191.41	152.98	165.08	175.57	156.20	153.22	138.94	152.09	158.67	145.39	184.57	164.01	187.02	62.53	66.14	72.89	60.63	9.64	15.25	152.51	186.28	136.02	167.93	148.89	154.52	114.40	125.36	131.84	149.16	32.63	34.20	33.07	35.79	33.66	37.94	30.94	38.65	33.60	25.63	38.22	16.53	32.20	48.65	66.07	59.04	31.66	46.01	70.73	40.66	75.03	44.25	57.72	60.48	60.65	25.52	61.39	65.94	59.25	56.42	47.87	59.48	60.82	17.51	82.12	291.53	23.98	8.89	13.65	8.98	23.57	33.05	17.28	16.57	11.47	7.06	20.69	23.98	17.69	39.68	31.46	5.37	11.74	24.40	22.35	10.45	22.35	7.71	23.46	8.52	28.32	40.84	19.24	29.05
AFUB_093240	121.20	174.70	163.28	164.42	171.46	152.12	151.89	143.45	162.32	156.29	148.05	171.86	162.10	180.17	66.17	62.36	77.88	68.97	9.61	18.01	154.58	185.81	135.09	166.18	148.04	147.95	115.22	141.71	128.41	163.20	37.47	36.52	38.40	38.51	36.33	38.04	35.55	37.09	33.14	31.46	39.54	21.01	35.13	47.65	79.06	58.55	28.75	45.89	68.82	39.61	76.30	49.50	58.59	59.29	63.65	27.86	61.90	61.66	62.30	56.86	45.76	56.95	65.17	19.25	83.91	274.93	21.22	10.48	10.13	7.94	28.50	36.95	11.64	16.70	10.38	3.45	10.65	21.22	14.71	30.35	32.11	6.42	8.04	16.42	21.76	9.20	21.76	9.06	18.72	6.99	32.78	41.84	21.43	29.29
AFUB_093250	118.64	183.60	160.07	168.93	197.45	160.29	157.82	154.55	162.22	163.44	153.51	176.86	169.53	186.24	76.47	73.32	85.51	68.11	12.09	18.00	158.23	199.73	160.23	173.86	152.87	160.28	119.45	136.67	137.75	158.12	43.45	43.12	41.08	36.65	42.65	43.52	41.03	48.27	41.49	30.34	48.52	21.65	35.48	45.36	78.91	62.96	35.02	49.68	81.50	49.73	79.06	49.12	64.96	60.56	68.54	31.94	65.30	69.88	61.33	62.60	49.58	65.09	66.77	22.92	90.40	304.67	29.02	7.29	10.01	9.29	29.24	32.96	14.30	19.87	14.96	6.48	17.02	29.02	16.05	39.39	37.52	7.84	7.30	22.18	20.21	8.96	20.21	8.90	28.06	7.25	35.70	49.92	26.00	34.60
