GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_092930	96.88	119.39	132.85	123.70	131.82	127.13	130.98	128.60	114.03	141.37	116.84	137.03	132.16	147.94	56.01	63.04	75.24	65.12	9.39	14.91	145.14	181.17	117.39	142.61	129.77	133.78	101.10	110.95	115.67	129.69	35.47	36.40	35.28	32.65	33.11	37.37	31.38	38.71	32.99	24.98	39.53	16.67	29.77	46.05	66.70	62.58	27.84	48.51	66.15	41.69	71.57	41.85	57.69	58.93	57.77	24.69	60.20	60.16	60.91	61.89	47.74	53.11	60.10	20.56	80.81	273.34	14.73	7.73	7.63	7.70	17.72	17.13	14.87	14.18	11.47	4.60	16.72	14.73	17.12	31.25	31.94	6.16	7.52	14.76	21.21	9.08	21.21	5.54	11.92	5.79	31.18	42.14	22.11	30.26
AFUB_092940	106.99	141.64	136.40	136.53	142.17	132.61	133.62	132.93	128.98	147.45	127.42	142.64	135.47	167.58	66.51	66.97	75.76	72.24	9.44	17.17	158.36	194.39	140.88	152.22	136.51	140.64	102.88	120.93	120.27	126.76	41.10	38.83	41.01	37.93	42.00	43.19	38.30	43.27	40.52	29.56	46.31	20.15	35.93	46.05	73.17	59.25	31.88	49.59	72.56	44.73	79.33	48.26	66.33	64.00	62.24	30.09	67.30	69.10	62.02	56.87	50.24	59.03	64.67	21.09	89.07	302.60	29.59	5.36	12.97	7.85	30.32	24.50	14.19	16.21	12.41	4.24	18.64	29.59	17.26	37.55	30.96	5.73	7.99	18.71	28.00	8.87	28.00	6.01	19.58	8.95	36.42	48.37	25.43	35.40
AFUB_092950	110.75	138.28	138.41	145.77	149.36	127.28	137.06	131.76	131.96	144.52	138.46	150.51	132.96	164.87	61.83	58.61	75.03	70.33	8.96	13.04	155.22	197.25	140.87	159.12	142.65	148.26	103.11	124.46	131.72	128.31	36.30	39.83	43.18	35.22	41.13	44.95	39.37	44.80	39.82	29.39	45.49	22.44	33.54	52.18	72.73	58.28	33.86	50.08	74.71	43.48	78.72	51.53	58.25	62.07	55.97	29.82	67.70	60.96	62.11	60.35	48.03	56.15	63.24	18.65	80.96	294.25	27.52	7.48	8.76	6.94	25.74	27.00	10.36	17.93	11.58	2.60	13.64	27.52	19.49	32.06	34.30	5.53	7.16	15.61	24.69	10.67	24.69	5.78	22.99	6.92	36.77	50.58	24.28	32.62
AFUB_092960	111.70	148.65	134.79	140.11	163.17	142.20	141.73	129.40	136.27	141.54	145.47	158.16	142.99	160.49	66.74	65.66	75.72	66.91	9.26	15.64	155.86	188.70	132.32	153.13	141.64	142.31	109.99	131.37	121.16	130.69	38.23	39.39	37.17	36.33	36.78	38.87	37.51	40.81	39.24	28.28	45.44	21.91	34.73	47.33	73.25	64.29	29.81	50.67	70.43	43.68	75.05	45.48	65.22	58.84	64.96	26.93	65.04	58.87	57.55	59.13	46.64	60.00	65.42	19.34	82.10	295.71	24.95	7.16	11.95	5.65	24.26	25.73	14.30	17.80	8.80	4.70	19.99	24.95	17.53	41.30	40.26	6.41	11.03	23.73	20.63	12.93	20.63	7.84	24.16	7.64	32.48	47.13	23.33	31.65
AFUB_092970	120.64	165.13	148.72	156.81	166.18	152.86	155.28	138.47	144.91	153.01	149.21	157.78	162.41	164.79	62.01	62.43	76.84	77.53	8.52	15.86	155.65	199.83	165.97	161.06	153.42	161.54	121.23	129.43	123.06	153.87	39.23	41.11	47.38	37.96	39.07	43.32	38.67	46.39	39.83	32.71	47.37	23.70	36.16	47.14	77.88	61.97	31.90	53.94	74.09	43.02	80.65	50.04	71.78	68.16	60.96	30.19	69.92	68.70	57.96	67.28	49.00	58.44	68.48	20.89	86.84	311.27	24.59	6.32	9.40	7.80	23.49	26.20	11.68	19.47	11.39	4.08	15.30	24.59	19.29	32.89	37.10	4.52	8.82	19.40	22.06	9.14	22.06	6.63	19.56	7.17	38.06	50.74	26.01	30.75
AFUB_092980	109.89	156.02	132.73	154.11	157.54	147.24	142.91	136.51	147.01	150.84	139.65	161.48	153.16	174.28	65.07	70.42	79.30	61.67	9.14	16.38	162.45	191.11	139.40	167.27	145.72	160.77	110.68	120.67	126.11	148.77	35.65	36.90	33.60	36.96	38.55	37.44	34.71	41.68	33.40	24.75	39.55	17.95	33.70	49.51	78.31	59.13	28.11	47.94	68.01	39.11	78.05	46.31	61.48	63.52	56.48	27.72	70.20	63.83	57.30	59.80	51.73	55.17	63.69	20.09	84.44	301.00	26.49	4.62	8.79	6.90	19.99	26.81	12.92	15.99	12.23	4.70	13.89	26.49	19.52	35.73	35.31	9.06	8.41	19.86	21.35	13.13	21.35	6.40	22.57	7.37	29.93	42.84	22.81	29.65
AFUB_092990	116.80	174.88	149.21	157.51	168.08	157.80	153.09	146.84	149.33	151.24	152.25	172.63	157.71	174.85	65.29	70.26	73.01	73.57	8.82	17.15	166.92	208.05	152.79	166.83	146.41	158.40	117.87	131.39	130.74	147.28	43.35	43.77	45.86	41.94	41.60	42.96	38.82	47.18	40.94	31.40	45.75	21.48	37.04	48.17	73.07	65.43	31.10	51.04	70.63	46.49	79.35	46.79	62.22	64.62	59.56	30.34	69.19	67.78	56.91	60.02	47.92	57.38	63.36	22.67	90.43	297.06	24.77	6.93	11.00	9.03	23.68	31.19	13.11	17.68	12.73	5.33	13.86	24.77	16.48	32.55	32.77	6.99	8.10	19.36	22.39	8.71	22.39	5.01	18.17	6.68	37.70	48.16	27.51	34.47
AFUB_093000	110.39	169.26	149.45	156.40	165.44	157.26	149.84	138.51	147.38	152.15	146.85	162.49	161.13	178.75	66.79	70.03	77.93	62.76	9.63	15.45	157.61	198.38	148.00	168.64	140.18	158.54	110.01	128.45	122.53	151.74	36.37	36.15	37.94	34.94	36.67	40.78	35.08	40.84	37.20	29.13	41.75	19.40	33.81	49.48	71.41	59.25	29.74	50.97	74.39	43.16	76.42	50.73	60.59	60.19	61.82	28.13	63.60	65.48	59.05	59.74	48.97	63.82	64.81	21.07	90.50	291.75	23.49	6.44	10.30	7.58	26.56	26.25	11.64	16.50	11.41	3.27	17.06	23.49	16.11	37.35	35.03	7.90	9.03	20.55	23.20	9.19	23.20	6.22	18.70	6.86	34.52	45.43	23.13	31.78
AFUB_093010	129.88	198.32	160.46	161.77	184.09	176.42	156.23	153.78	165.52	159.78	155.52	176.58	173.48	183.69	62.34	66.77	72.10	68.63	7.71	14.93	168.42	217.71	188.72	184.96	149.75	168.84	124.51	142.74	137.26	162.87	44.95	49.65	47.08	42.15	43.18	48.18	44.45	46.11	39.16	31.24	47.55	23.49	38.30	46.16	78.67	62.51	34.35	47.73	73.09	44.61	78.36	53.63	67.66	62.85	63.37	32.28	73.35	73.02	60.14	58.81	44.98	56.70	70.18	21.39	101.23	294.18	23.16	4.12	8.12	4.89	24.05	33.85	8.97	19.26	11.63	2.71	9.25	23.16	16.13	33.90	34.25	7.74	7.13	23.55	20.34	6.85	20.34	4.54	23.60	8.32	42.16	58.63	31.88	36.68
AFUB_093020	120.62	175.02	152.55	161.60	165.09	153.63	149.91	141.11	155.09	159.07	145.73	173.84	161.42	165.26	62.68	68.47	78.63	67.05	8.67	15.17	158.38	203.11	158.82	167.09	145.24	160.05	117.48	135.02	134.93	150.81	41.28	39.95	40.28	35.70	41.19	43.69	38.50	41.02	39.87	28.87	43.78	20.41	35.20	45.46	66.87	62.37	30.33	52.54	71.30	42.81	80.42	53.94	61.21	61.19	60.64	30.51	64.19	65.89	60.65	59.62	49.46	54.40	61.92	20.00	86.74	294.12	22.16	6.66	11.56	7.29	25.54	33.99	11.76	17.63	11.27	5.07	13.76	22.16	18.25	34.37	33.90	6.38	8.33	21.53	25.34	10.28	25.34	5.73	23.17	6.34	37.25	51.64	25.63	35.15
AFUB_093030	118.55	183.87	153.00	165.87	160.07	158.21	152.43	141.14	163.02	164.39	156.39	183.79	167.67	178.22	65.85	61.65	73.90	73.21	8.02	15.95	165.19	204.74	149.78	169.03	152.71	157.28	113.88	131.75	133.15	153.37	47.78	49.45	46.71	39.62	47.58	48.71	44.47	49.52	43.06	32.29	48.54	21.48	39.70	52.09	72.30	72.18	35.91	51.41	75.51	40.08	82.70	52.80	62.03	69.58	63.12	32.20	62.08	68.46	61.72	59.76	51.13	59.92	67.22	20.57	84.27	310.22	27.39	6.09	14.98	6.36	23.72	28.80	9.10	19.26	11.64	1.97	10.13	27.39	15.03	33.27	33.39	8.18	7.34	23.72	22.90	7.60	22.90	4.99	27.13	7.94	42.77	59.10	31.14	40.23
