GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_100610	1.0764	1.0774	1.1186	1.0595	1.0946	1.0447	1.1220	1.1301	1.1083	1.0772	1.0755	1.0968	1.0948	1.0783	1.0473	1.2189	1.0515	1.0114	1.1358	1.0176	1.0391	1.0714	1.0816	1.0598	1.0585	1.0754	1.0962	1.0326	1.0968	1.0823	0.8314	0.9850	0.8869	0.0054	0.8979	0.9909	0.8831	0.8915	0.8666	0.8772	0.8692	1.0318	1.0293	1.0086	1.0982	1.0693	0.9426	1.0702	0.9475	1.0348	1.1038	1.0130	1.0695	1.0585	1.0775	0.9855	1.0278	0.9758	1.1075	1.0886	0.9914	1.0153	1.0232	0.9392	0.9723	0.9795	0.9508	1.0481	0.9286	1.0788	1.0922	0.7923	1.0015	0.8787	0.8180	0.8743	0.9976	0.9508	1.1167	0.9167	0.9335	1.0456	1.0913	0.7760	1.0823	0.8797	1.0823	0.8162	0.9198	0.1538	0.7176	1.0605	0.9922	1.1065	1.1027
AFUB_100620	1.0034	1.0079	1.0010	1.0402	1.0230	1.0128	1.0063	1.0320	1.0766	1.0074	0.9834	1.0131	0.9548	1.0292	0.9438	0.9498	1.0104	0.7295	1.1233	0.8367	0.9570	0.9932	0.8497	0.9335	0.9710	0.9591	0.9911	1.0107	0.9650	0.9906	0.6687	0.6725	0.6817	0.3599	0.6856	0.7462	0.6654	0.7108	0.6477	0.6575	0.7237	0.6924	0.8478	1.0029	0.8974	1.0222	0.8052	0.9663	0.8598	0.9455	0.9339	0.8682	0.9728	0.9072	0.9519	0.7802	0.7475	0.9846	0.9139	0.8117	0.9129	1.0091	0.9642	0.8333	0.7741	0.8674	0.9076	1.1406	0.7003	1.0883	0.9836	1.0301	0.8804	0.8337	0.8145	0.8491	1.0784	0.9076	0.9655	0.8113	0.7949	1.0676	1.1240	0.7043	1.1950	0.5815	1.1950	1.1783	1.0754	1.3077	0.7214	0.7182	0.7041	0.6771	0.8780
AFUB_100630	1.0823	1.0452	1.0923	1.1062	1.0822	1.0107	1.0813	1.0362	1.0674	1.0557	1.0858	1.0458	1.0210	1.0461	0.9327	1.1066	1.0287	0.8597	1.1187	0.9770	1.0292	0.9772	0.9372	1.0256	1.0294	1.0602	1.0310	1.0540	1.0077	1.0305	0.7911	0.8382	0.7762	0.7956	0.8521	0.9063	0.8346	0.8515	0.8528	0.8768	0.8587	0.8715	0.9552	1.0450	0.9686	0.9126	0.9369	1.0209	0.9734	1.0140	1.0668	0.9215	0.9678	1.0137	0.9522	0.8981	0.8668	1.0625	1.0019	1.0110	1.0373	0.9857	1.0834	0.9055	0.8918	0.9077	1.0041	1.0592	1.0375	1.1110	1.1010	1.0125	0.8090	0.8781	0.9037	1.0116	0.9531	1.0041	0.8925	0.9958	0.8630	0.9544	0.9481	0.8492	0.9812	1.3738	0.9812	0.9499	1.2025	2.6923	0.9576	0.9606	0.8570	0.8606	0.9501
AFUB_100640	1.1650	1.1595	1.1396	1.1615	1.1922	1.2034	1.1603	1.1867	1.1131	1.1619	1.0909	1.1242	1.1428	1.1326	1.0632	1.3050	0.9178	1.2143	1.0959	1.1050	1.0998	1.1511	1.2183	1.1303	1.1755	1.0755	1.1031	1.2033	1.1207	1.1010	1.2680	1.3566	1.0969	1.1546	1.2816	1.2425	1.3224	1.1126	1.2609	1.3878	1.1358	1.0074	1.1410	0.9898	1.0230	1.0039	1.0970	1.1107	1.1450	1.0746	1.1021	1.2057	1.0007	1.0841	0.9123	1.1911	1.0138	1.0154	1.1387	1.1363	0.9460	1.0076	1.1085	1.1878	0.9334	1.0030	0.8763	1.1134	1.1793	1.0585	0.8569	0.7923	0.9241	0.7408	1.0698	1.5745	1.1871	0.8763	1.1415	1.3030	0.7244	1.4176	1.2909	1.3158	1.0747	1.3062	1.0747	0.9652	0.8645	0.9231	0.8344	1.2945	1.4002	1.4367	1.2697
AFUB_100650	1.1573	1.1148	1.1110	1.1223	1.0722	1.1135	1.1022	1.0688	1.1213	1.1085	1.0459	1.0836	1.0625	1.1170	1.0235	1.0207	1.0023	1.1381	1.1358	1.0061	1.0569	1.0229	0.9683	1.0612	1.0729	1.1015	1.0919	1.0610	1.0689	1.0607	0.9572	0.9790	0.8792	0.9148	0.8939	1.0484	1.0299	0.8108	0.9307	1.0457	1.0162	0.9721	1.0016	1.0401	1.1444	1.0017	1.0521	1.0655	1.0469	1.0340	1.0428	0.9474	1.0257	1.0187	1.0647	1.0245	1.0435	1.0403	1.0266	1.1109	1.0699	1.0261	1.0473	1.3116	0.9203	1.0547	0.9733	0.8742	0.6574	0.9391	0.8510	1.1492	0.7094	0.8861	1.1069	0.5687	0.8266	0.9733	0.9183	0.6813	0.7961	0.7676	1.0767	0.7322	0.7657	0.8419	0.7657	0.8231	0.9995	3.2308	0.6123	1.1309	1.0535	1.0206	1.1299
AFUB_100660	1.0459	1.0802	1.0828	1.1099	1.1368	1.0688	1.1189	1.0816	1.0968	1.1085	1.1531	1.1929	1.1071	1.1143	0.9787	1.0042	0.9545	1.1376	0.9897	1.0847	1.0497	1.1307	1.2063	1.0832	1.1171	1.0774	1.0408	1.1056	1.0791	1.1166	1.0517	1.1576	1.1804	1.1495	1.0658	1.1664	1.0793	0.9772	1.1044	1.2110	1.1052	1.1995	1.0763	1.0439	1.0356	0.9496	1.0931	1.0595	1.0058	1.1482	0.9796	1.0004	1.0565	1.0662	1.0469	1.0811	1.1974	1.0136	1.0429	0.9788	0.9700	0.8988	1.0577	1.3692	0.9471	1.0218	0.8947	0.9605	1.0134	0.7924	0.8060	1.1111	0.7830	0.8393	0.9205	0.8298	0.9667	0.8947	1.0477	0.9176	0.8620	0.7471	1.0203	0.7849	1.1208	1.1392	1.1208	0.9359	0.9225	0.2308	1.0616	1.3719	1.2243	1.3494	1.2651
AFUB_100670	1.0149	1.0028	1.0333	1.0082	1.0168	0.9837	0.9766	0.9875	0.9893	1.0240	0.9925	0.9454	0.9659	1.0224	1.0167	1.1091	1.0638	1.0354	1.2580	0.9858	0.9796	0.9841	0.9399	0.9686	0.9763	0.9841	0.9921	0.9840	1.0205	0.9727	0.9272	0.9320	0.9079	0.9587	0.8988	1.0061	0.8661	0.8928	0.9212	0.9413	0.8665	0.9670	1.0059	0.9175	1.0359	1.0143	0.9351	0.8737	0.9811	1.0545	0.9996	0.9891	1.0399	1.0183	1.0434	0.9985	0.9099	1.0122	1.0489	0.9764	1.0018	1.1148	1.0681	0.9463	0.8962	0.9575	0.8276	0.9926	0.8501	0.9308	1.1292	1.0550	1.1472	0.9828	0.9735	0.9458	1.2352	0.8276	1.0840	0.9408	0.9729	1.0809	0.9718	0.8403	1.0966	1.1014	1.0966	1.0710	1.0728	0.2308	0.8228	0.9694	0.9943	0.8871	1.0114
AFUB_100680	1.0345	1.0175	1.0789	1.0248	1.0055	1.0519	1.0515	1.0836	1.0398	1.1335	1.0799	1.0171	1.0828	1.0565	1.0320	1.1925	1.0958	1.1052	1.0068	1.0034	1.0158	1.0566	1.0565	1.0495	1.0169	1.0243	1.0860	1.1056	1.0050	1.1013	0.9232	0.9374	0.9390	0.8864	0.9171	0.9400	0.8176	0.8939	0.9295	0.9075	0.9104	1.0307	1.0794	1.0095	1.2075	1.0037	1.0071	1.1255	0.9813	1.1427	1.1218	1.0257	1.0101	1.0151	1.0727	1.0495	1.1186	1.1815	1.1387	1.1341	1.1200	0.9713	1.0394	1.0168	0.9638	0.0003	1.1434	1.0345	0.9045	1.0298	0.8258	1.0107	0.6426	0.9132	1.1299	0.7292	0.9424	1.1434	1.0437	0.9556	1.0185	0.9706	0.8467	1.1070	1.0130	1.0040	1.0130	1.0641	1.2732	1.0769	1.2028	1.0493	0.9780	1.0128	0.9383
AFUB_100690	0.9847	0.9858	1.0299	1.0284	1.0174	0.9468	0.9954	0.9734	0.9925	1.0013	0.9628	0.9569	0.9828	0.9991	1.0005	1.0273	1.0014	1.0559	1.0879	1.0359	0.9602	0.9609	0.9180	0.9632	0.9658	0.9191	0.9961	0.9780	0.9522	0.9792	0.9336	0.9368	0.8881	0.9050	0.9527	0.9571	0.9855	0.9467	0.9612	0.9114	0.9026	0.9449	1.0230	0.9424	1.0290	0.9030	0.9807	1.0111	0.9653	1.0186	1.0320	0.9965	1.0058	0.9986	1.0009	1.0394	1.0407	0.9411	0.9520	1.0522	0.9835	0.9932	0.9916	1.0277	0.8943	0.4824	1.1848	1.1973	1.0473	0.8878	1.0888	1.0474	0.8873	0.9286	0.9567	0.6325	0.9881	1.1848	1.0730	0.8983	0.8506	0.9206	0.7993	0.7786	1.0644	1.1859	1.0644	0.9638	1.3312	1.0000	0.9063	0.9669	0.9736	0.8984	1.0125
AFUB_100700	1.0483	1.1321	1.1877	1.1213	1.0810	1.0617	1.1498	1.0497	1.0772	1.1118	1.1364	1.0170	1.1401	1.0677	0.9747	1.0144	0.9894	1.2129	1.1153	1.0793	1.0613	1.1463	1.4055	1.0735	1.1325	1.1702	1.0663	1.0814	1.0984	1.1053	1.1456	1.2298	1.1959	1.1785	1.0484	1.1620	1.1355	1.1354	1.0289	1.1445	1.0904	0.9568	1.2136	0.9727	1.0006	1.0985	1.0485	0.8082	1.0269	1.0072	0.9306	0.8500	1.0269	1.0078	0.9546	1.0294	1.2221	1.0646	1.0558	1.1849	0.8112	0.9851	1.0007	1.3844	0.9252	1.0021	0.9568	0.5105	1.2319	0.8866	0.7976	0.9373	1.1166	0.8510	1.2102	0.9072	0.9804	0.9568	1.0558	0.9903	0.9322	0.4603	0.7204	1.0058	1.0335	0.6233	1.0335	0.5585	1.3982	0.0000	1.1078	1.3776	1.0398	1.4318	1.1966
