GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_080010	0.00	0.08	34.13	30.58	39.11	0.08	4.37	62.41	70.89	62.82	0.00	0.00	99.12	46.19	15.35	0.00	0.00	17.80	0.00	0.00	0.00	48.37	0.00	0.08	0.00	0.00	0.00	5.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	25.74	24.54	17.15	29.02	11.55	13.30	16.12	0.00	11.75	10.37	19.85	84.54	16.73	0.08	19.25	32.14	0.00	33.61	19.54	10.42	31.72	0.00	0.00	0.08	0.06	33.21	12.30	18.23	0.00	8.19	1.47	0.00	0.00	0.00	5.02	3.33	7.98	4.48	0.80	3.88	8.19	10.73	18.11	17.50	1.65	5.02	12.00	0.00	2.16	0.00	2.72	0.00	0.00	10.86	10.84	0.19	0.00
AFUB_080020	0.00	0.00	0.00	0.00	0.19	0.00	2.61	165.99	111.55	0.00	0.00	0.00	126.82	0.19	0.14	0.00	0.00	45.93	0.00	0.00	0.00	157.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	33.55	27.87	29.77	33.27	18.40	12.75	30.83	0.00	0.00	13.60	30.98	138.82	27.05	0.00	34.24	56.96	0.00	53.91	26.57	0.00	61.09	0.00	0.00	0.00	0.00	57.89	14.11	0.00	0.00	2.60	0.00	0.00	0.00	0.00	31.11	2.54	1.25	0.88	0.52	2.31	2.60	11.26	21.56	23.40	0.00	12.40	12.28	0.00	0.00	0.00	0.00	0.00	0.00	14.73	1.27	0.00	0.00
AFUB_080030	0.00	0.00	0.00	0.00	0.00	0.00	6.78	102.34	94.96	0.00	0.11	0.05	97.02	0.00	0.00	0.00	0.00	42.96	0.00	0.00	0.00	122.17	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44	41.24	40.27	29.91	41.05	18.15	16.80	29.06	0.00	0.00	14.06	31.96	147.53	27.16	0.00	29.34	63.19	0.11	63.95	33.63	0.00	113.36	0.00	0.00	0.00	0.00	108.16	20.37	0.00	0.00	14.57	0.00	0.00	0.00	0.00	14.02	6.59	6.11	7.39	4.53	7.44	14.57	13.62	21.83	22.65	0.00	5.73	14.11	0.00	0.00	0.00	0.00	0.00	0.00	15.54	1.77	0.11	0.00
AFUB_080040	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	164.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	37.30	33.89	27.61	40.31	18.13	0.07	0.00	0.00	0.04	0.03	0.07	140.89	0.10	0.02	0.04	59.54	0.00	57.79	29.05	0.05	63.96	0.00	0.02	0.04	0.00	65.80	21.54	0.05	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.05	0.00
AFUB_080050	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	139.91	0.00	0.00	0.00	137.57	0.00	0.01	0.00	0.00	61.67	0.00	0.00	151.87	187.46	0.00	0.00	0.06	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	32.57	30.76	25.42	35.66	15.72	27.78	39.20	0.00	0.00	22.65	42.28	130.96	36.69	0.00	41.71	57.11	0.00	58.89	25.35	0.06	60.75	0.00	0.06	0.00	0.00	58.00	21.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.94	27.45	25.85	0.00	0.00	17.58	0.00	0.00	0.00	6.49	0.00	0.00	23.23	2.46	0.06	0.00
AFUB_080060	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	162.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	166.77	0.00	0.11	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	40.32	31.05	30.96	38.08	16.72	0.00	0.00	0.00	0.00	0.10	0.00	134.45	0.00	85.93	0.02	60.89	0.00	55.34	28.43	0.00	62.69	0.00	0.00	0.09	0.00	64.17	25.87	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.16	0.00
AFUB_080070	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.19	0.00	160.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	154.11	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	33.26	28.41	24.60	37.54	15.01	0.12	0.00	0.00	0.00	0.19	0.00	134.72	0.15	76.83	0.21	61.94	0.00	60.94	27.06	0.00	61.83	0.00	0.06	0.00	0.00	57.86	20.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AFUB_080080	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	162.76	0.00	0.00	0.00	0.11	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	38.67	35.94	29.03	44.97	18.41	0.05	0.05	0.00	0.00	0.00	0.00	136.10	0.05	0.00	0.04	58.53	0.00	56.48	26.91	0.04	65.11	0.02	0.05	0.00	0.00	59.86	17.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.34	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.05	0.00
AFUB_080090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.12	0.00	131.06	0.00	0.00	0.00	0.00	27.16	0.09	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	12.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	27.06	23.67	22.89	31.36	13.03	0.00	0.00	0.00	26.74	0.07	0.00	115.51	0.28	0.00	0.00	52.28	0.00	45.95	23.09	0.00	47.71	0.00	0.00	0.00	0.00	46.67	15.13	37.84	0.00	0.38	2.18	0.00	0.00	0.00	0.00	0.00	0.22	0.26	0.05	0.23	0.38	12.08	12.82	13.73	2.61	11.21	8.46	0.00	3.25	0.00	3.07	0.00	0.15	0.05	18.80	0.54	0.00
AFUB_080100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.26	0.00	77.27	0.00	0.00	0.00	0.00	39.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.21	14.34	15.33	19.66	9.22	0.00	0.00	0.00	28.89	0.00	0.00	65.66	0.00	0.00	0.00	28.57	0.00	30.91	13.67	0.00	32.32	0.00	0.00	0.00	0.00	34.22	9.18	36.22	0.00	0.00	2.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.77	16.15	12.67	2.15	6.44	8.23	0.00	4.97	0.00	4.50	0.00	0.21	0.00	25.11	0.66	0.00
