GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_086620	0.00	199.50	156.46	191.83	205.00	0.00	170.46	158.52	0.00	0.12	0.00	195.73	180.95	199.43	54.79	0.00	0.00	62.48	9.70	14.35	0.00	222.53	190.35	202.29	167.71	177.37	129.81	118.14	140.03	176.79	0.00	0.00	0.00	34.44	0.00	0.21	0.40	40.99	36.06	29.59	45.75	22.02	38.28	46.62	0.00	65.80	25.74	46.10	75.77	39.02	76.07	48.03	65.04	0.20	63.49	33.33	0.00	0.00	61.60	0.49	0.00	0.00	0.00	22.38	74.81	0.45	14.02	2.14	12.38	7.70	18.01	20.70	18.54	13.77	10.25	6.58	18.03	14.02	20.91	39.73	39.56	3.23	9.99	18.28	21.62	12.93	21.62	4.39	17.82	0.00	4.13	43.01	53.66	1.09	0.00
AFUB_086630	0.15	195.50	157.60	196.48	212.39	0.29	170.34	153.36	175.90	0.00	162.08	192.75	181.37	220.52	39.57	0.00	0.00	60.69	8.22	14.62	0.00	216.43	198.26	198.99	168.60	194.19	139.97	115.57	149.33	182.37	0.00	0.00	0.00	34.01	0.00	0.15	0.24	38.49	38.05	29.49	36.93	18.14	37.61	38.44	0.30	64.42	26.42	44.46	71.77	47.32	87.20	48.17	58.70	0.00	56.29	26.77	0.00	0.12	55.70	0.04	0.30	0.00	0.00	21.54	72.75	0.00	12.51	5.32	8.99	7.55	23.96	20.06	10.42	17.98	14.89	2.20	13.74	12.51	17.00	30.80	33.98	8.69	7.63	17.43	16.90	5.57	16.90	3.68	19.62	0.07	5.87	43.44	54.10	1.96	0.00
AFUB_086640	0.07	176.71	142.18	160.07	174.61	0.00	133.50	124.30	161.31	0.11	142.34	160.72	147.41	176.01	39.23	0.15	0.00	57.50	9.68	15.16	0.13	187.22	172.97	153.13	140.67	150.06	112.49	92.96	121.03	143.94	0.00	0.00	0.00	35.00	0.15	0.02	0.47	37.95	32.22	27.90	41.07	17.87	29.47	38.78	0.00	59.82	22.35	42.93	0.00	39.13	73.23	39.61	56.37	0.00	55.07	23.98	0.14	0.00	56.51	0.25	0.00	0.00	0.00	14.92	69.71	0.00	16.41	6.98	12.65	7.31	16.94	19.92	15.10	15.23	10.30	6.30	21.57	16.41	15.40	31.54	28.20	9.03	8.43	17.06	17.32	10.50	17.32	6.96	16.37	0.00	5.91	38.77	41.14	1.67	0.00
AFUB_086650	158.34	214.90	164.80	224.74	233.04	200.73	205.01	169.80	215.39	56.15	185.90	231.54	176.73	235.79	60.78	37.85	43.18	63.05	7.49	12.23	240.14	265.46	226.23	235.01	215.95	210.79	163.54	162.61	183.60	210.39	30.44	35.11	35.14	41.83	32.65	35.70	27.21	48.01	41.00	33.55	46.68	20.24	38.48	56.03	44.83	85.68	33.93	62.08	79.79	53.11	82.49	60.68	67.15	37.91	75.46	31.38	58.13	42.30	76.37	30.55	26.10	32.64	34.97	19.71	104.01	126.90	14.25	4.95	11.49	5.86	20.66	14.12	11.99	11.68	10.64	5.21	13.31	14.25	10.82	33.17	28.63	7.31	8.90	15.11	20.26	8.41	20.26	4.13	10.61	0.09	6.75	50.03	57.31	18.12	16.17
AFUB_086660	117.90	165.50	142.79	159.38	171.44	151.37	162.34	142.38	147.74	149.73	139.09	159.16	155.58	162.97	61.14	65.98	71.96	58.64	9.74	13.26	150.20	188.19	128.86	159.02	146.64	153.83	106.88	121.10	122.53	146.90	29.54	28.34	29.85	27.13	31.88	34.15	27.18	36.31	27.90	26.06	37.53	15.16	30.79	37.94	63.97	59.12	26.17	47.28	61.47	43.39	71.17	43.37	57.63	60.86	56.58	26.68	54.11	57.42	54.29	53.26	41.68	50.48	64.27	18.27	63.21	261.41	24.00	8.41	9.72	8.89	23.90	23.91	11.06	16.03	10.47	2.97	16.67	24.00	18.58	27.06	31.29	7.35	8.11	14.54	19.21	10.01	19.21	4.67	16.45	0.30	6.82	27.37	35.04	18.30	27.51
AFUB_086670	114.64	164.39	151.17	162.41	162.63	151.90	154.54	143.87	159.20	152.04	134.73	172.05	162.52	176.82	62.07	62.47	76.52	49.71	9.63	14.42	148.77	172.31	105.48	160.16	137.90	153.22	107.71	131.45	131.71	149.51	25.25	25.68	24.00	23.99	27.87	32.55	25.45	31.56	23.65	21.55	33.48	17.78	29.23	40.88	64.07	61.69	25.83	44.38	68.95	43.95	72.15	47.21	61.01	52.11	59.88	25.98	40.55	62.76	55.23	51.89	45.70	55.68	62.08	13.14	67.63	268.34	12.62	7.66	9.21	10.97	17.28	28.15	15.18	15.51	9.88	6.70	24.23	12.62	15.78	25.49	25.42	4.85	9.58	17.34	22.52	15.67	22.52	11.08	17.14	0.20	8.02	24.62	34.44	16.02	23.75
AFUB_086680	115.08	165.32	153.76	162.29	168.94	147.63	155.21	151.36	149.04	146.66	141.04	169.94	156.30	173.09	54.43	68.71	75.10	47.83	9.42	12.63	148.07	180.25	115.23	164.41	136.53	147.05	107.22	126.91	125.55	145.70	21.35	25.19	21.32	23.21	28.85	29.72	21.92	27.28	23.97	19.27	29.08	13.72	28.26	43.70	73.01	53.44	25.51	49.01	64.64	41.84	72.07	43.98	53.70	58.71	60.59	24.58	41.23	63.14	54.66	51.02	45.50	53.55	64.40	15.89	70.16	277.10	23.32	8.19	10.00	7.21	26.22	32.69	11.07	18.26	10.64	3.96	15.88	23.32	16.57	25.26	30.09	7.54	9.17	15.47	24.59	9.65	24.59	8.89	21.49	0.22	6.80	19.99	27.96	14.17	22.78
AFUB_086690	127.47	174.15	160.80	164.33	176.08	154.52	158.94	145.66	156.61	141.15	140.03	170.47	160.81	180.19	55.92	57.96	77.00	47.39	8.87	12.56	150.12	185.62	118.16	166.06	143.20	162.64	108.64	134.27	127.45	150.14	22.55	24.36	22.62	23.27	28.11	28.14	21.84	26.90	23.40	17.73	29.68	16.46	29.30	44.47	71.92	52.51	24.44	48.58	59.75	41.32	68.53	42.63	50.28	53.08	53.44	22.31	43.78	63.72	52.95	47.96	44.15	50.91	56.79	16.79	69.53	264.46	20.26	7.27	10.40	7.26	25.46	26.23	10.67	15.04	10.74	3.44	15.10	20.26	17.08	25.14	27.93	5.82	7.66	12.78	25.24	11.94	25.24	8.14	16.44	0.17	7.68	20.79	28.16	13.64	22.70
AFUB_086700	117.81	170.67	154.76	163.00	167.30	146.46	156.23	148.83	157.39	152.97	136.27	171.92	161.05	172.91	54.25	61.78	77.29	44.30	10.08	13.63	146.14	181.64	112.48	160.37	136.85	151.16	108.99	126.62	125.73	142.14	22.19	22.22	20.58	22.13	24.81	26.60	20.66	27.57	21.96	17.50	27.32	13.05	27.85	42.42	67.95	51.67	23.67	49.30	62.34	39.65	70.23	45.84	55.73	54.02	61.71	24.52	33.10	62.20	53.92	49.80	45.49	52.39	59.88	11.92	64.49	262.51	21.98	9.55	11.40	10.01	24.23	29.58	11.65	16.43	9.61	4.48	17.61	21.98	19.36	26.73	26.56	7.68	11.18	12.71	26.22	12.82	26.22	6.90	18.56	0.34	8.67	18.72	27.14	13.29	21.65
AFUB_086710	118.68	168.74	154.89	158.27	163.57	141.69	155.41	140.87	147.49	150.50	140.83	166.05	155.27	173.31	50.90	61.55	75.72	49.70	9.47	14.18	143.88	185.60	125.76	164.44	140.52	145.22	103.24	129.46	117.84	132.14	22.71	22.15	19.54	21.93	23.33	26.36	23.83	25.53	23.76	19.48	27.35	12.77	26.99	42.24	62.16	53.69	23.47	42.73	60.56	34.65	69.10	42.85	54.29	49.30	58.10	22.95	40.30	57.64	51.14	53.41	41.52	53.50	62.37	13.59	64.32	257.16	26.85	7.46	9.95	6.71	27.04	36.68	13.26	17.23	13.07	4.96	17.05	26.85	17.40	26.44	30.74	5.86	10.02	13.01	19.84	10.86	19.84	9.50	17.78	0.19	12.38	17.86	25.97	13.14	22.64
