GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_102330	0.00	0.00	0.00	0.00	0.00	0.00	0.00	162.16	0.00	160.03	0.00	0.03	0.10	0.09	64.20	0.17	0.00	0.00	0.05	0.04	0.00	0.00	0.02	0.05	0.11	0.00	0.00	24.92	0.05	0.00	0.03	0.02	0.02	0.00	0.02	0.03	0.08	34.88	31.39	26.04	37.03	16.65	0.00	0.10	0.03	58.39	0.00	0.00	139.90	0.16	0.11	0.13	58.65	0.02	64.26	27.66	0.00	63.52	0.00	0.16	0.00	0.00	62.76	18.21	80.08	0.02	0.00	7.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.99	32.39	30.30	6.70	14.31	19.32	0.00	12.04	0.00	7.63	0.00	0.00	0.26	0.11	36.10	0.50	0.02
AFUB_102340	0.00	0.00	0.00	0.00	0.00	0.00	0.03	152.48	0.00	161.30	0.00	0.01	0.00	0.00	63.83	0.00	0.00	0.00	0.02	0.01	0.00	0.04	0.00	0.01	0.00	0.00	0.00	24.66	0.00	0.00	0.01	0.00	0.01	0.01	0.02	0.02	0.07	36.18	31.57	25.06	37.29	18.23	0.05	0.03	0.02	58.59	0.11	0.00	135.93	0.19	0.02	0.14	60.97	0.03	59.21	28.69	0.04	64.24	0.03	0.06	0.00	0.00	64.23	21.12	80.10	0.04	0.00	6.18	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	20.32	30.05	29.36	6.88	18.13	16.33	0.00	9.69	0.00	6.73	0.00	0.00	0.14	0.04	38.72	0.68	0.01
AFUB_102350	0.00	0.00	0.00	0.00	0.02	0.00	0.00	154.51	0.00	167.87	0.00	0.02	0.02	0.02	65.15	0.00	0.00	0.00	0.02	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.14	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.05	0.18	34.48	32.00	25.48	36.77	16.75	0.05	0.00	0.00	57.11	0.11	0.00	132.27	0.21	0.02	0.11	59.19	0.00	61.55	26.88	0.00	65.56	0.00	0.16	0.00	0.00	64.87	19.92	76.50	0.00	0.00	5.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.80	29.27	36.67	6.79	18.39	20.49	0.00	9.74	0.00	7.04	0.00	0.00	0.48	0.16	38.00	0.71	0.02
AFUB_102360	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.60	0.00	109.94	0.00	0.00	0.00	0.00	12.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	19.93	19.09	15.16	20.93	8.66	0.00	0.00	0.00	5.64	0.00	0.00	52.99	0.35	0.00	0.00	38.41	0.00	34.06	16.10	0.00	40.96	0.00	0.00	0.00	0.00	43.42	9.34	7.09	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13	3.79	2.37	0.55	8.37	1.85	0.00	1.20	0.00	0.58	0.00	0.00	0.06	0.00	12.06	0.00	0.00
