GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_099120	125.92	182.01	152.45	159.45	176.16	154.82	158.81	143.15	157.87	149.48	145.27	176.31	158.43	178.02	68.90	69.55	81.67	63.50	10.24	18.27	154.24	186.35	131.32	166.47	141.11	156.42	113.55	136.19	129.01	151.75	31.68	33.57	29.78	32.27	34.60	35.68	30.29	36.50	30.68	24.46	37.15	17.37	33.56	46.89	72.52	58.34	28.89	47.83	69.60	41.15	74.87	48.26	62.14	59.15	64.70	27.21	57.29	63.45	59.57	55.87	47.41	59.21	63.05	18.54	81.75	290.33	23.47	10.04	12.24	10.44	24.01	33.35	13.43	16.82	12.74	5.07	19.73	23.47	17.65	30.06	28.19	9.12	11.75	15.52	25.81	11.71	25.81	7.87	19.50	0.32	9.50	26.70	37.59	18.26	29.46
AFUB_099130	124.05	192.87	169.96	161.58	177.22	160.91	167.40	145.43	160.59	158.89	144.40	181.09	163.04	174.99	65.11	69.70	84.40	65.54	9.81	16.07	156.50	191.45	126.41	170.26	144.34	155.57	110.51	133.52	131.58	149.41	34.74	34.29	34.97	35.11	40.15	38.40	32.02	39.48	34.30	22.33	38.50	18.75	32.92	49.09	68.47	62.27	29.37	46.93	69.77	46.22	71.86	50.39	66.82	61.69	65.56	27.01	62.54	67.55	58.20	67.51	48.21	53.74	63.98	22.30	85.39	296.20	22.77	9.43	10.54	11.62	26.21	35.25	16.56	15.49	10.56	4.95	24.24	22.77	23.89	35.69	35.85	6.39	10.36	17.89	23.34	9.00	23.34	7.96	22.44	0.05	9.09	33.16	43.68	21.42	29.97
AFUB_099140	111.90	172.75	148.00	147.49	165.13	147.30	148.50	133.67	147.18	143.23	137.72	159.91	147.81	165.28	70.51	60.96	74.04	57.20	9.87	18.89	145.66	179.23	130.56	161.26	137.43	149.57	104.96	123.62	121.42	150.55	39.54	35.74	35.43	37.69	39.50	39.47	33.62	41.42	36.92	26.17	42.18	19.04	35.31	40.52	70.63	56.16	32.05	46.25	66.32	44.30	73.59	48.21	59.97	62.65	65.97	30.02	56.63	61.76	63.24	54.44	46.66	60.41	62.90	21.15	81.37	271.85	21.90	9.18	12.94	7.54	22.18	29.95	13.06	18.78	12.81	5.16	18.33	21.90	12.30	27.23	28.84	7.81	10.06	12.48	21.05	7.87	21.05	9.31	18.77	0.12	6.92	30.50	44.46	21.50	32.98
AFUB_099150	123.94	179.45	149.31	160.68	183.16	150.82	161.47	140.54	150.97	151.28	146.48	178.32	159.45	174.62	74.14	69.79	79.92	60.98	9.24	16.90	160.42	197.53	136.80	161.33	134.62	163.55	111.33	135.41	121.74	156.36	35.71	37.92	38.46	34.65	41.69	38.17	35.81	43.88	34.84	25.77	41.53	18.93	33.95	49.32	70.30	63.95	30.99	49.01	69.48	40.12	75.65	48.91	57.20	60.10	66.75	27.91	55.08	60.86	61.30	55.76	47.32	59.83	60.56	17.17	87.29	298.96	23.24	9.97	9.96	11.05	22.62	35.51	10.91	17.92	11.45	7.01	19.89	23.24	17.27	32.11	31.17	9.25	8.76	15.39	23.55	11.82	23.55	10.01	18.80	0.11	7.95	31.48	44.18	24.05	30.74
AFUB_099160	119.01	173.67	147.01	159.29	176.37	151.23	152.67	140.39	152.55	151.17	140.83	170.48	155.11	169.39	68.40	67.24	76.29	56.99	10.27	17.42	148.48	186.28	133.92	164.71	136.63	151.29	113.34	128.55	127.52	148.45	31.24	31.98	31.06	31.29	33.32	33.87	31.40	35.92	29.65	24.22	37.26	16.81	32.25	46.20	68.75	55.15	29.44	48.84	66.62	41.82	75.49	46.52	62.96	61.94	65.82	27.49	57.92	66.64	60.70	59.35	47.62	56.71	63.61	18.79	81.15	289.27	25.01	9.73	10.05	6.95	23.62	30.13	12.65	16.70	11.79	4.15	16.94	25.01	18.10	31.17	28.03	6.78	9.10	17.54	23.16	11.96	23.16	7.89	22.50	0.21	9.81	25.45	37.52	17.32	29.02
AFUB_099170	118.04	176.53	150.81	159.34	172.82	156.60	154.49	138.75	156.45	152.76	138.95	161.88	153.96	172.79	61.76	65.16	75.11	65.47	8.65	16.02	151.52	190.58	143.67	163.78	138.70	154.26	113.45	125.09	125.71	150.82	32.94	33.46	35.21	33.18	36.48	35.99	32.50	37.59	33.18	25.43	40.34	18.13	32.64	46.70	71.37	62.86	30.03	48.07	68.54	43.51	76.78	48.68	58.91	60.87	62.07	26.82	63.30	65.76	59.91	59.66	48.51	57.26	60.98	21.00	80.39	286.93	24.49	8.67	13.41	8.47	25.61	34.21	12.22	19.07	12.83	4.16	16.14	24.49	18.63	30.14	33.98	7.06	10.11	18.66	24.43	11.08	24.43	8.86	21.96	0.19	9.37	29.61	39.17	20.47	29.99
AFUB_099180	120.88	182.71	153.65	162.17	181.04	159.86	153.92	143.72	158.82	156.46	145.34	168.15	160.74	172.56	66.91	66.09	75.82	66.06	9.84	16.84	155.63	192.37	140.25	169.97	144.89	160.37	114.89	135.00	132.43	152.51	35.78	35.29	35.21	34.47	37.59	37.65	32.34	38.33	33.72	25.97	40.88	19.66	33.68	50.65	72.09	60.99	30.35	51.01	71.32	44.09	81.73	48.85	61.90	62.22	63.80	27.98	68.40	66.06	61.12	61.51	48.29	57.27	64.51	18.53	85.77	295.35	24.72	9.52	14.08	9.29	25.02	32.11	13.13	18.04	13.68	5.46	17.72	24.72	18.16	35.76	35.22	6.77	11.04	21.16	24.01	11.06	24.01	8.52	22.27	0.18	8.52	28.73	40.90	20.22	30.45
AFUB_099190	115.63	180.12	161.91	164.97	175.13	161.45	156.50	146.14	164.30	158.69	140.89	163.82	157.66	170.96	65.81	67.40	77.03	72.91	9.99	16.04	158.98	190.29	141.49	162.27	150.65	164.22	115.22	130.96	132.28	151.18	38.49	38.63	40.01	38.32	37.06	41.40	36.85	39.12	35.62	26.78	40.95	18.71	35.99	49.83	77.84	60.16	31.09	43.91	70.66	40.56	82.59	44.90	64.83	60.28	59.43	26.89	68.76	65.11	55.89	65.21	51.64	55.20	66.69	24.98	83.90	286.66	24.73	9.20	13.81	11.00	25.91	25.35	14.42	19.64	13.40	5.27	22.92	24.73	20.65	37.85	36.70	7.15	8.87	16.94	24.49	12.58	24.49	7.61	18.48	0.00	9.11	33.51	43.34	26.46	31.43
AFUB_099200	120.34	176.57	150.10	163.11	177.61	152.83	148.64	142.91	164.01	145.72	146.04	164.65	157.38	170.93	68.84	66.08	66.98	68.43	10.26	17.15	149.33	188.71	140.22	171.78	145.70	155.25	117.48	132.66	126.12	143.87	35.03	34.77	33.82	33.66	39.15	39.08	30.59	37.87	32.78	27.26	41.49	19.19	33.08	46.42	68.62	58.94	32.40	45.81	67.46	41.58	76.78	49.79	59.41	58.56	60.49	28.82	61.47	63.08	56.32	58.03	47.02	56.40	62.53	21.08	79.56	272.97	19.73	11.16	10.96	8.03	23.91	32.00	14.59	16.26	12.56	6.02	18.61	19.73	18.52	40.18	34.32	6.79	10.14	20.91	17.51	9.61	17.51	7.24	26.49	0.10	9.92	30.19	40.91	20.35	30.42
AFUB_099210	114.29	170.63	144.18	150.75	159.02	139.08	142.13	131.12	142.34	140.01	133.74	156.43	144.59	162.91	56.99	59.83	71.13	51.39	9.20	14.13	145.21	171.48	106.93	151.47	122.89	137.11	112.55	119.77	115.64	134.37	26.70	27.58	25.85	26.18	29.17	29.75	25.32	29.94	26.18	20.19	29.00	14.11	28.99	44.12	62.53	54.61	24.82	44.02	65.25	38.59	63.81	43.07	59.72	51.06	52.63	21.61	51.88	56.74	52.26	57.56	45.38	49.70	58.46	14.66	68.61	265.24	19.18	8.33	7.84	8.31	23.14	26.13	12.48	16.54	12.07	4.36	20.12	19.18	16.32	21.30	17.85	7.04	8.37	11.34	21.97	12.20	21.97	6.65	19.17	0.26	7.62	22.47	30.13	14.10	25.32
