BioSample	Experiment	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Platform	ReleaseDate	SRA_Study
SAMEA1709823	ERX040258	591	313	Aspergillus fumigatus v67-37	ERR062316	ERS079842	A_fumigatus_v67-37	OTHER	72	PRJEB2807	SDSU	public	sra	ncbi	2013-02-16	2013-11-04	300	Illumina Genome Analyzer II	PAIRED	unspecified	GENOMIC	unspecified	2013-02-16	ILLUMINA	2013-02-22	ERP001097
SAMEA1709821	ERX040259	330	161	Aspergillus fumigatus v67-36	ERR062317	ERS079843	A_fumigatus_v67-36	OTHER	72	PRJEB2807	SDSU	public	sra	ncbi	2013-02-16	2013-11-04	300	Illumina Genome Analyzer II	PAIRED	unspecified	GENOMIC	unspecified	2013-02-16	ILLUMINA	2013-02-22	ERP001097
