SRR068951	AF210
SRR159251	NCPF-7816
SRR159252	NCPF-7811
SRR159253	NCPF-7820
SRR159254	NCPF-7822
SRR343134	B5852
SRR343135	B5854
SRR343136	B5856
SRR343137	B5859
SRR343138	B5863
SRR343139	B5866
SRR343140	B5868
SRR343141	B6069
SRR343142	B6074
SRR343143	B6078
SRR343145	B6079
SRR343146	B6081
SRR343149	F11628
SRR343150	F12865
SRR343152	F15767
